Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,53.52957589285714
100,black swan,True,True,50.55205676020408
101,tusker,True,True,50.95663265306123
102,echidna,True,True,50.83506058673469
103,platypus,False,False,54.67753507653062
104,wallaby,False,False,50.86894132653062
105,koala,True,True,52.21819196428571
106,wombat,True,True,56.57684948979592
107,jellyfish,True,True,52.92171556122449
108,sea anemone,True,True,55.15186543367348
109,brain coral,True,True,52.50916772959183
10,brambling,True,True,52.13448660714286
110,flatworm,False,False,55.35714285714286
111,nematode,True,True,54.53603316326531
112,conch,True,True,51.38313137755102
113,snail,True,True,55.09805484693877
114,slug,True,True,51.71197385204081
115,sea slug,False,False,51.709980867346935
116,chiton,True,True,54.9186862244898
117,chambered nautilus,True,True,54.52008928571429
118,Dungeness crab,True,True,55.24154974489795
119,rock crab,True,True,54.95455994897959
11,goldfinch,True,True,50.603874362244895
120,fiddler crab,True,True,54.639668367346935
121,king crab,True,True,52.37364477040817
122,American lobster,True,True,54.37858737244898
123,spiny lobster,False,False,52.42745535714286
124,crayfish,True,True,51.49473852040817
125,hermit crab,False,False,52.92171556122449
126,isopod,False,False,53.81855867346938
127,white stork,True,True,51.65816326530612
128,black stork,True,True,52.51514668367348
129,spoonbill,True,True,52.58290816326531
12,house finch,True,True,52.09263392857143
130,flamingo,True,True,51.35722257653062
131,little blue heron,True,True,51.75382653061224
132,American egret,True,True,51.82158801020408
133,bittern,True,True,54.94658801020408
134,crane,True,True,57.14883609693877
135,limpkin,True,True,52.06672512755102
136,European gallinule,True,True,51.32334183673469
137,American coot,True,True,55.11599170918368
138,bustard,True,True,52.12452168367348
139,ruddy turnstone,False,False,50.68359375
13,junco,False,False,59.01426977040817
140,red-backed sandpiper,False,False,56.65058992346938
141,redshank,True,True,52.53507653061224
142,dowitcher,False,False,51.72393176020408
143,oystercatcher,True,True,51.905293367346935
144,pelican,True,True,51.92920918367348
145,king penguin,True,True,51.53061224489795
146,albatross,True,True,50.65967793367348
147,grey whale,False,False,53.98995535714286
148,killer whale,True,True,53.81058673469388
149,dugong,True,True,51.612324617346935
14,indigo bunting,True,True,51.62029655612245
150,sea lion,True,True,54.82700892857143
151,Chihuahua,True,True,53.64118303571429
152,Japanese spaniel,True,True,57.47369260204081
153,Maltese dog,True,True,52.293925382653065
154,Pekinese,True,True,56.102519132653065
155,Shih-Tzu,True,True,51.71595982142857
156,Blenheim spaniel,True,True,53.26251594387755
157,papillon,True,True,52.02885841836735
158,toy terrier,True,True,52.31983418367348
159,Rhodesian ridgeback,False,False,51.068239795918366
15,robin,True,True,52.35969387755102
160,Afghan hound,True,True,52.50518176020408
161,basset,True,True,50.91677295918368
162,beagle,True,True,50.53212691326531
163,bloodhound,False,False,51.64819834183674
164,bluetick,True,True,49.92227359693878
165,black-and-tan coonhound,True,True,53.58936543367348
166,Walker hound,True,True,53.89827806122449
167,English foxhound,True,True,52.8679049744898
168,redbone,True,True,51.23963647959183
169,borzoi,True,True,53.03531568877551
16,bulbul,True,True,51.36519451530612
170,Irish wolfhound,False,False,52.38360969387755
171,Italian greyhound,True,True,50.123565051020414
172,whippet,True,True,52.42346938775511
173,Ibizan hound,True,True,54.86686862244898
174,Norwegian elkhound,True,True,56.35164221938776
175,otterhound,False,False,57.69889987244898
176,Saluki,True,True,54.74131058673469
177,Scottish deerhound,True,True,54.88679846938776
178,Weimaraner,True,True,51.50470344387755
179,Staffordshire bullterrier,True,True,51.903300382653065
17,jay,True,True,52.75031887755102
180,American Staffordshire terrier,True,True,53.19076849489795
181,Bedlington terrier,True,True,51.51666135204081
182,Border terrier,True,True,53.51961096938776
183,Kerry blue terrier,True,True,51.15194515306123
184,Irish terrier,True,True,51.76179846938776
185,Norfolk terrier,True,True,50.99848533163265
186,Norwich terrier,True,True,50.787228954081634
187,Yorkshire terrier,True,True,53.33227040816326
188,wire-haired fox terrier,True,True,51.78770727040817
189,Lakeland terrier,True,True,55.94905931122449
18,magpie,True,True,55.58235012755102
190,Sealyham terrier,True,True,51.14995216836735
191,Airedale,False,False,51.39907525510205
192,cairn,True,True,53.31234056122449
193,Australian terrier,False,False,50.90680803571429
194,Dandie Dinmont,True,True,55.25749362244898
195,Boston bull,True,True,51.8195950255102
196,miniature schnauzer,True,True,52.002949617346935
197,giant schnauzer,True,True,51.12802933673469
