Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,57.21659757653062
100,black swan,True,True,52.88982780612245
101,tusker,True,True,53.58737244897959
102,echidna,True,True,52.58490114795919
103,platypus,True,True,54.57987882653062
104,wallaby,False,False,53.29440369897959
105,koala,False,False,54.03579400510205
106,wombat,True,True,57.86431760204081
107,jellyfish,True,True,55.516581632653065
108,sea anemone,True,True,54.88480548469388
109,brain coral,True,True,53.98796237244898
10,brambling,True,True,53.97002551020408
110,flatworm,False,False,59.9968112244898
111,nematode,True,True,55.22959183673469
112,conch,True,True,57.01132015306123
113,snail,True,True,62.02367665816326
114,slug,True,True,56.86782525510205
115,sea slug,True,True,52.57294323979592
116,chiton,True,True,56.700414540816325
117,chambered nautilus,True,True,66.54177295918367
118,Dungeness crab,True,True,61.87420280612245
119,rock crab,True,True,57.90218431122449
11,goldfinch,True,True,52.69252232142857
120,fiddler crab,True,True,54.49617346938776
121,king crab,False,False,56.77614795918368
122,American lobster,True,True,54.33474170918368
123,spiny lobster,True,True,54.95256696428571
124,crayfish,True,True,53.82254464285714
125,hermit crab,False,False,55.689971301020414
126,isopod,False,False,54.693478954081634
127,white stork,True,True,55.65409757653062
128,black stork,True,True,53.02933673469388
129,spoonbill,True,True,57.40393813775511
12,house finch,True,True,53.63719706632652
130,flamingo,True,True,53.36216517857143
131,little blue heron,True,True,55.6281887755102
132,American egret,True,True,55.49067283163265
133,bittern,True,True,56.939572704081634
134,crane,True,True,56.37954400510205
135,limpkin,False,False,55.45479910714286
136,European gallinule,True,True,55.49266581632652
137,American coot,True,True,56.37954400510205
138,bustard,True,True,53.033322704081634
139,ruddy turnstone,True,True,52.98150510204081
13,junco,False,False,58.31672512755102
140,red-backed sandpiper,True,True,59.46269132653062
141,redshank,True,True,55.73182397959183
142,dowitcher,True,True,53.01737882653062
143,oystercatcher,True,True,53.51363201530612
144,pelican,True,True,58.48413584183674
145,king penguin,True,True,54.60180165816326
146,albatross,True,True,52.447385204081634
147,grey whale,False,False,59.74170918367348
148,killer whale,True,True,53.87834821428571
149,dugong,True,True,52.58091517857143
