Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,52.95360331632652
100,black swan,True,True,51.16788903061224
101,tusker,True,True,50.87890625
102,echidna,True,True,51.4030612244898
103,platypus,True,True,53.13297193877551
104,wallaby,False,False,50.807158801020414
105,koala,True,True,55.82549426020408
106,wombat,True,True,56.080596301020414
107,jellyfish,True,True,52.55102040816326
108,sea anemone,False,False,54.68351403061224
109,brain coral,True,True,52.91972257653062
10,brambling,True,True,52.11854272959183
110,flatworm,False,False,53.83649553571429
111,nematode,True,True,52.95758928571429
112,conch,True,True,51.69802295918368
113,snail,True,True,52.69252232142857
114,slug,True,True,51.31138392857143
115,sea slug,True,True,52.29791135204081
116,chiton,True,True,55.09008290816326
117,chambered nautilus,True,True,55.98692602040817
118,Dungeness crab,True,True,55.41693239795919
119,rock crab,True,True,52.61678890306123
11,goldfinch,True,True,51.26753826530612
120,fiddler crab,True,True,54.71540178571429
121,king crab,True,True,50.68359375
122,American lobster,True,True,51.36918048469388
123,spiny lobster,True,True,53.5774075255102
124,crayfish,True,True,52.208227040816325
125,hermit crab,False,False,51.13201530612245
126,isopod,False,False,53.0632174744898
127,white stork,True,True,51.04033801020408
128,black stork,True,True,52.34375
129,spoonbill,True,True,54.53204719387755
12,house finch,True,True,52.77622767857143
130,flamingo,False,False,51.02838010204081
131,little blue heron,True,True,52.06273915816326
132,American egret,True,True,53.01139987244898
133,bittern,True,True,53.58737244897959
134,crane,True,True,56.4811862244898
135,limpkin,True,True,52.23612882653062
136,European gallinule,True,True,54.13145727040817
137,American coot,True,True,55.82748724489795
138,bustard,True,True,51.54655612244898
139,ruddy turnstone,False,False,50.81513073979592
13,junco,False,False,57.049186862244895
140,red-backed sandpiper,True,True,54.59781568877551
141,redshank,True,True,52.98549107142857
142,dowitcher,False,False,50.72544642857143
143,oystercatcher,True,True,53.858418367346935
144,pelican,True,True,52.93168048469388
145,king penguin,True,True,51.55253507653062
146,albatross,True,True,50.78324298469388
147,grey whale,False,False,52.45735012755102
148,killer whale,True,True,52.84000318877551
149,dugong,True,True,50.76331313775511
14,indigo bunting,True,True,51.26953125
150,sea lion,True,True,54.71739477040817
151,Chihuahua,True,True,54.97050382653062
152,Japanese spaniel,True,True,61.06505102040817
153,Maltese dog,True,True,52.88384885204081
154,Pekinese,True,True,54.94658801020408
155,Shih-Tzu,True,True,51.11806441326531
156,Blenheim spaniel,True,True,50.80915178571429
157,papillon,True,True,52.4772799744898
158,toy terrier,True,True,51.18383290816326
159,Rhodesian ridgeback,True,True,50.86894132653062
15,robin,True,True,52.17235331632652
160,Afghan hound,True,True,52.002949617346935
161,basset,True,True,50.70352359693877
162,beagle,True,True,50.37468112244898
163,bloodhound,False,False,51.91924426020408
164,bluetick,True,True,50.44443558673469
165,black-and-tan coonhound,False,False,52.75629783163265
166,Walker hound,True,True,55.31529017857143
167,English foxhound,True,True,52.77224170918368
168,redbone,True,True,51.16788903061224
169,borzoi,True,True,52.29990433673469
16,bulbul,True,True,50.93470982142857
170,Irish wolfhound,True,True,51.94316007653062
171,Italian greyhound,True,True,50.60985331632652
172,whippet,True,True,54.85491071428571
173,Ibizan hound,True,True,53.54950573979592
174,Norwegian elkhound,True,True,55.377072704081634
175,otterhound,False,False,56.16629464285714
176,Saluki,True,True,54.29288903061224
177,Scottish deerhound,True,True,60.8757174744898
178,Weimaraner,True,True,53.716916454081634
179,Staffordshire bullterrier,True,True,53.09709821428571
17,jay,True,True,52.12252869897959
180,American Staffordshire terrier,True,True,52.14644451530612
181,Bedlington terrier,True,True,51.3671875
182,Border terrier,True,True,51.39708227040817
183,Kerry blue terrier,False,False,50.1953125
184,Irish terrier,True,True,51.25558035714286
185,Norfolk terrier,True,True,50.440449617346935
186,Norwich terrier,True,True,51.512675382653065
187,Yorkshire terrier,True,True,53.2844387755102
188,wire-haired fox terrier,True,True,51.61830357142857
189,Lakeland terrier,True,True,54.64564732142857
18,magpie,True,True,52.47329400510205
190,Sealyham terrier,True,True,51.01841517857143
191,Airedale,False,False,52.19029017857143
192,cairn,True,True,56.690449617346935
193,Australian terrier,False,False,50.87093431122449
194,Dandie Dinmont,True,True,55.71588010204081
195,Boston bull,True,True,51.34925063775511
196,miniature schnauzer,True,True,51.19180484693877
197,giant schnauzer,True,True,50.994499362244895
198,standard schnauzer,True,True,51.59239477040817
199,Scotch terrier,True,True,52.52311862244898
19,chickadee,True,True,51.18383290816326
1,goldfish,True,True,50.245137117346935
200,Tibetan terrier,True,True,50.96460459183674
201,silky terrier,True,True,51.02838010204081
202,soft-coated wheaten terrier,True,True,50.83904655612245
203,West Highland white terrier,True,True,52.012914540816325
204,Lhasa,True,True,53.41597576530612
205,flat-coated retriever,True,True,50.90282206632652
206,curly-coated retriever,True,True,57.82645089285714
207,golden retriever,True,True,51.09614158163265
208,Labrador retriever,True,True,51.26155931122449
209,Chesapeake Bay retriever,True,True,51.13002232142857
20,water ouzel,True,True,51.90927933673469
210,German short-haired pointer,True,True,50.96460459183674
211,vizsla,True,True,50.66964285714286
212,English setter,False,False,51.29743303571429
213,Irish setter,True,True,53.27646683673469
214,Gordon setter,True,True,53.87236926020408
215,Brittany spaniel,True,True,53.89229910714286
216,clumber,True,True,58.057637117346935
217,English springer,True,True,50.72146045918368
218,Welsh springer spaniel,True,True,51.35323660714286
219,cocker spaniel,True,True,56.82597257653062
21,kite,True,True,55.18574617346938
220,Sussex spaniel,True,True,55.45479910714286
221,Irish water spaniel,True,True,52.556999362244895
222,kuvasz,True,True,53.16685267857143
223,schipperke,True,True,55.26147959183674
224,groenendael,True,True,50.76132015306123
225,malinois,True,True,53.15688775510205
226,briard,True,True,54.16733099489795
227,kelpie,True,True,52.70448022959183
228,komondor,True,True,51.81361607142857
229,Old English sheepdog,True,True,53.56744260204081
22,bald eagle,True,True,52.15242346938776
230,Shetland sheepdog,True,True,52.55899234693877
