Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,4.155373086734694
100,black swan,True,True,4.585857780612245
101,tusker,True,True,4.356664540816327
102,echidna,True,True,4.444355867346939
103,platypus,True,True,4.332748724489796
104,wallaby,True,True,4.308832908163265
105,koala,True,True,4.332748724489796
106,wombat,True,True,4.336734693877551
107,jellyfish,True,True,4.39453125
108,sea anemone,True,True,4.356664540816327
109,brain coral,True,True,4.354671556122449
10,brambling,True,True,4.478236607142857
110,flatworm,True,True,4.362643494897959
111,nematode,True,True,4.430404974489796
112,conch,True,True,4.428411989795919
113,snail,True,True,4.364636479591836
114,slug,True,True,4.322783801020408
115,sea slug,True,True,4.364636479591836
116,chiton,True,True,4.360650510204081
117,chambered nautilus,True,True,4.360650510204081
118,Dungeness crab,False,False,4.364636479591836
119,rock crab,False,False,4.384566326530613
11,goldfinch,True,True,4.1234853316326525
120,fiddler crab,True,True,4.368622448979592
121,king crab,True,True,4.268973214285714
122,American lobster,False,False,4.278938137755102
123,spiny lobster,True,True,4.412468112244898
124,crayfish,True,True,4.139429209183673
125,hermit crab,True,True,4.332748724489796
126,isopod,True,True,4.209183673469387
127,white stork,True,True,4.400510204081633
128,black stork,True,True,4.251036352040816
129,spoonbill,True,True,3.884327168367347
12,house finch,True,True,3.9202008928571432
130,flamingo,True,True,3.886320153061224
131,little blue heron,True,True,3.850446428571429
132,American egret,True,True,3.848453443877551
133,bittern,True,True,3.834502551020408
134,crane,True,True,3.617267219387755
135,limpkin,True,True,3.79264987244898
136,European gallinule,True,True,3.778698979591837
137,American coot,True,True,3.633211096938776
138,bustard,True,True,3.838488520408164
139,ruddy turnstone,True,True,3.770727040816327
13,junco,True,True,3.8584183673469385
140,red-backed sandpiper,True,True,3.691007653061224
141,redshank,True,True,3.89030612244898
142,dowitcher,True,True,3.790656887755102
143,oystercatcher,True,True,3.8145727040816326
144,pelican,True,True,3.806600765306122
145,king penguin,True,True,3.850446428571429
146,albatross,True,True,3.806600765306122
147,grey whale,True,True,3.804607780612245
148,killer whale,True,True,3.659119897959184
149,dugong,True,True,3.649154974489796
14,indigo bunting,True,True,3.673070790816327
150,sea lion,True,True,3.948102678571429
151,Chihuahua,True,True,3.868383290816327
152,Japanese spaniel,True,True,3.7846779336734695
153,Maltese dog,True,True,3.796635841836735
154,Pekinese,True,True,3.754783163265306
155,Shih-Tzu,True,True,3.6631058673469385
156,Blenheim spaniel,True,True,3.7946428571428568
157,papillon,True,True,3.790656887755102
158,toy terrier,True,True,4.3706154336734695
159,Rhodesian ridgeback,True,True,4.270966198979592
15,robin,True,True,4.334741709183673
160,Afghan hound,True,True,4.470264668367348
161,basset,True,True,4.2211415816326525
162,beagle,True,True,4.266980229591836
163,bloodhound,True,True,4.235092474489796
164,bluetick,True,True,4.239078443877551
165,black-and-tan coonhound,True,True,4.354671556122449
166,Walker hound,False,False,4.522082270408164
167,English foxhound,True,True,4.241071428571429
168,redbone,True,True,4.19124681122449
169,borzoi,True,True,4.31281887755102
16,bulbul,True,True,4.264987244897959
170,Irish wolfhound,True,True,4.2211415816326525
171,Italian greyhound,True,True,4.211176658163265
172,whippet,True,True,4.21516262755102
173,Ibizan hound,True,True,4.300860969387755
174,Norwegian elkhound,True,True,4.450334821428571
175,otterhound,False,False,4.153380102040816
176,Saluki,True,True,4.179288903061225
177,Scottish deerhound,True,True,4.376594387755102
178,Weimaraner,True,True,4.195232780612245
179,Staffordshire bullterrier,True,True,4.185267857142857
17,jay,True,True,4.37858737244898
180,American Staffordshire terrier,True,True,4.241071428571429
181,Bedlington terrier,True,True,4.302853954081633
182,Border terrier,True,True,4.364636479591836
183,Kerry blue terrier,True,True,4.292889030612245
184,Irish terrier,False,False,4.1753029336734695
185,Norfolk terrier,True,True,4.406489158163265
186,Norwich terrier,True,True,4.334741709183673
187,Yorkshire terrier,True,True,4.1015625
188,wire-haired fox terrier,True,True,4.09359056122449
189,Lakeland terrier,True,True,4.167330994897959
18,magpie,True,True,4.157366071428571
190,Sealyham terrier,True,True,4.161352040816327
191,Airedale,True,True,4.111527423469387
192,cairn,True,True,4.28093112244898
193,Australian terrier,True,True,4.10953443877551
