Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,2.0886479591836737
100,black swan,True,True,2.272002551020408
101,tusker,True,True,2.084661989795918
102,echidna,True,True,2.206234056122449
103,platypus,True,True,2.1603954081632653
104,wallaby,True,True,2.1285076530612246
105,koala,True,True,2.060746173469388
106,wombat,True,True,2.100605867346939
107,jellyfish,True,True,2.2839604591836737
108,sea anemone,True,True,2.1464445153061225
109,brain coral,True,True,2.2739955357142856
10,brambling,True,True,2.224170918367347
110,flatworm,True,True,2.158402423469388
111,nematode,True,True,2.198262117346939
112,conch,True,True,2.108577806122449
113,snail,True,True,2.152423469387755
114,slug,True,True,2.068718112244898
115,sea slug,True,True,2.108577806122449
116,chiton,True,True,2.1105707908163263
117,chambered nautilus,True,True,2.2142059948979598
118,Dungeness crab,False,False,2.1045918367346936
119,rock crab,True,True,2.1464445153061225
11,goldfinch,True,True,2.0826690051020407
120,fiddler crab,True,True,2.1025988520408165
121,king crab,True,True,2.166374362244898
122,American lobster,False,False,2.046795280612245
123,spiny lobster,True,True,2.13249362244898
124,crayfish,True,True,2.134486607142857
125,hermit crab,True,True,2.122528698979592
126,isopod,True,True,2.0208864795918364
127,white stork,True,True,2.2002551020408165
128,black stork,True,True,2.1763392857142856
129,spoonbill,True,True,1.8634406887755104
12,house finch,True,True,1.8116230867346936
130,flamingo,True,True,1.7637914540816326
131,little blue heron,True,True,1.717952806122449
132,American egret,True,True,1.8594547193877555
133,bittern,True,True,1.895328443877551
134,crane,True,True,1.8494897959183676
135,limpkin,True,True,1.797672193877551
136,European gallinule,True,True,1.921237244897959
137,American coot,True,True,1.735889668367347
138,bustard,True,True,1.837531887755102
139,ruddy turnstone,True,True,1.779735331632653
13,junco,True,True,1.7538265306122447
140,red-backed sandpiper,True,True,1.845503826530612
141,redshank,True,True,1.7637914540816326
142,dowitcher,True,True,1.707987882653061
143,oystercatcher,True,True,1.8893494897959184
144,pelican,True,True,1.6880580357142856
145,king penguin,True,True,1.85546875
146,albatross,True,True,1.8315529336734693
147,grey whale,True,True,1.823580994897959
148,killer whale,True,True,1.823580994897959
149,dugong,True,True,1.7538265306122447
14,indigo bunting,True,True,1.873405612244898
150,sea lion,True,True,1.7438616071428572
151,Chihuahua,True,True,1.8176020408163265
152,Japanese spaniel,True,True,1.7279177295918366
153,Maltese dog,True,True,1.789700255102041
154,Pekinese,True,True,1.797672193877551
155,Shih-Tzu,True,True,1.8714126275510203
156,Blenheim spaniel,True,True,1.8435108418367347
157,papillon,True,True,1.8215880102040816
158,toy terrier,True,True,1.921237244897959
159,Rhodesian ridgeback,True,True,1.7956792091836735
15,robin,True,True,1.9092793367346936
160,Afghan hound,True,True,1.9690688775510203
161,basset,True,True,2.008928571428572
162,beagle,True,True,1.992984693877551
163,bloodhound,True,True,1.9491390306122447
164,bluetick,True,True,1.9690688775510203
165,black-and-tan coonhound,True,True,1.9949776785714284
166,Walker hound,False,False,1.8694196428571428
167,English foxhound,True,True,1.9670758928571428
168,redbone,True,True,1.8096301020408163
169,borzoi,True,True,2.0408163265306123
16,bulbul,True,True,1.9331951530612248
170,Irish wolfhound,True,True,1.8694196428571428
171,Italian greyhound,True,True,1.971061862244898
172,whippet,True,True,1.9152582908163265
173,Ibizan hound,True,True,2.0069355867346936
174,Norwegian elkhound,True,True,1.9511320153061225
175,otterhound,False,False,1.93718112244898
176,Saluki,True,True,1.891342474489796
177,Scottish deerhound,False,False,1.9650829081632653
178,Weimaraner,True,True,1.9292091836734693
179,Staffordshire bullterrier,True,True,1.931202168367347
17,jay,True,True,1.8813775510204085
180,American Staffordshire terrier,True,True,1.8973214285714284
181,Bedlington terrier,True,True,2.04280931122449
182,Border terrier,True,True,1.9909917091836733
183,Kerry blue terrier,True,True,1.931202168367347
184,Irish terrier,False,False,1.935188137755102
185,Norfolk terrier,True,True,1.9511320153061225
186,Norwich terrier,True,True,2.05078125
187,Yorkshire terrier,True,True,1.5365911989795915
188,wire-haired fox terrier,True,True,1.6342474489795915
189,Lakeland terrier,True,True,1.5405771683673468
18,magpie,True,True,1.4409279336734695
190,Sealyham terrier,True,True,1.5744579081632653
191,Airedale,True,True,1.4668367346938775
192,cairn,True,True,1.610331632653061
193,Australian terrier,True,True,1.594387755102041
194,Dandie Dinmont,True,True,1.5784438775510203
195,Boston bull,True,True,1.5505420918367347
196,miniature schnauzer,True,True,1.4409279336734695
197,giant schnauzer,True,True,1.420998086734694
198,standard schnauzer,True,True,1.5465561224489797
199,Scotch terrier,True,True,1.5983737244897962
19,chickadee,True,True,1.5246332908163265
1,goldfish,True,True,1.642219387755102
200,Tibetan terrier,True,True,1.580436862244898
201,silky terrier,True,True,1.4568718112244898
202,soft-coated wheaten terrier,True,True,1.5405771683673468
203,West Highland white terrier,True,True,1.526626275510204
204,Lhasa,True,True,1.4588647959183674
205,flat-coated retriever,True,True,1.5525350765306123
206,curly-coated retriever,True,True,1.5684789540816326
207,golden retriever,True,True,1.5166613520408163
208,Labrador retriever,True,True,1.602359693877551
209,Chesapeake Bay retriever,True,True,1.5664859693877553
20,water ouzel,True,True,1.594387755102041
210,German short-haired pointer,True,True,1.5884088010204085
211,vizsla,True,True,1.522640306122449
212,English setter,True,True,1.5206473214285714
213,Irish setter,True,True,1.468829719387755
214,Gordon setter,True,True,1.6143176020408163
215,Brittany spaniel,True,True,2.7403539540816326
216,clumber,True,True,2.867904974489796
217,English springer,True,True,2.834024234693877
218,Welsh springer spaniel,True,True,2.6745854591836737
219,cocker spaniel,True,True,2.646683673469388
21,kite,False,False,2.752311862244898
220,Sussex spaniel,True,True,2.806122448979592
221,Irish water spaniel,False,False,2.7224170918367347
222,kuvasz,True,True,2.708466198979592
223,schipperke,True,True,2.5829081632653064
224,groenendael,True,True,2.6825573979591835
225,malinois,True,True,2.6267538265306123
226,briard,True,True,2.738360969387755
227,kelpie,True,True,2.768255739795918
228,komondor,True,True,2.736367984693877
229,Old English sheepdog,True,True,2.578922193877551
22,bald eagle,True,True,2.818080357142857
230,Shetland sheepdog,True,True,2.865911989795918
231,collie,True,True,2.748325892857143
232,Border collie,False,False,2.7622767857142856
233,Bouvier des Flandres,True,True,2.8519610969387754
234,Rottweiler,True,True,2.7144451530612246
235,German shepherd,True,True,2.632732780612245
236,Doberman,True,True,2.716438137755102
237,miniature pinscher,True,True,2.7144451530612246
238,Greater Swiss Mountain dog,True,True,2.670599489795918
239,Bernese mountain dog,True,True,2.700494260204082
23,vulture,True,True,2.720424107142857
240,Appenzeller,True,True,2.662627551020408
241,EntleBucher,False,False,2.6745854591836737
242,boxer,True,True,2.6805644132653064
243,bull mastiff,True,True,2.826052295918368
244,Tibetan mastiff,True,True,2.1484375
245,French bulldog,True,True,2.3756377551020407
246,Great Dane,True,True,2.1384725765306123
247,Saint Bernard,True,True,2.1803252551020407
248,Eskimo dog,True,True,2.222177933673469
249,malamute,True,True,2.1942761479591835
24,great grey owl,True,True,2.23812181122449
250,Siberian husky,True,True,2.170360331632653
251,dalmatian,True,True,2.086654974489796
252,affenpinscher,False,False,2.014907525510204
253,basenji,True,True,2.210220025510204
254,pug,True,True,2.1942761479591835
255,Leonberg,True,True,2.036830357142857
256,Newfoundland,True,True,2.2700095663265305
257,Great Pyrenees,True,True,2.0667251275510203
258,Samoyed,True,True,2.1942761479591835
259,Pomeranian,True,True,2.1763392857142856
25,European fire salamander,True,True,2.2022480867346936
260,chow,True,True,2.1285076530612246
261,keeshond,True,True,2.220184948979592
262,Brabancon griffon,True,True,2.1902901785714284
263,Pembroke,True,True,2.158402423469388
264,Cardigan,True,True,2.084661989795918
265,toy poodle,True,True,2.2520727040816326
266,miniature poodle,True,True,2.3238201530612246
267,standard poodle,True,True,2.0667251275510203
268,Mexican hairless,True,True,2.134486607142857
269,timber wolf,True,True,2.1384725765306123
26,common newt,True,True,2.1364795918367347
270,white wolf,False,False,2.178332270408164
271,red wolf,True,True,2.2082270408163263
272,coyote,True,True,2.206234056122449
273,dingo,True,True,3.1369579081632653
274,dhole,True,True,2.9496173469387754
275,African hunting dog,True,True,3.0791613520408165
276,hyena,True,True,3.029336734693877
