Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,5.137914540816327
100,black swan,True,True,5.07015306122449
101,tusker,True,True,5.155851403061225
102,echidna,True,True,4.998405612244898
103,platypus,True,True,5.223612882653061
104,wallaby,True,True,5.25749362244898
105,koala,True,True,5.07015306122449
106,wombat,True,True,5.050223214285714
107,jellyfish,True,True,4.960538903061225
108,sea anemone,True,True,4.908721301020408
109,brain coral,True,True,5.030293367346939
10,brambling,True,True,5.233577806122449
110,flatworm,True,True,5.108019770408164
111,nematode,True,True,5.060188137755102
112,conch,True,True,5.058195153061225
113,snail,True,True,5.209661989795919
114,slug,True,True,5.096061862244898
115,sea slug,True,True,5.074139030612245
116,chiton,True,True,4.986447704081633
117,chambered nautilus,True,True,4.922672193877551
118,Dungeness crab,False,False,5.209661989795919
119,rock crab,True,True,5.277423469387755
11,goldfinch,True,True,4.966517857142857
120,fiddler crab,True,True,5.141900510204081
121,king crab,True,True,5.181760204081633
122,American lobster,False,False,5.173788265306122
123,spiny lobster,True,True,4.982461734693878
124,crayfish,True,True,5.121970663265306
125,hermit crab,True,True,4.940609056122449
126,isopod,True,True,5.084103954081633
127,white stork,True,True,5.108019770408164
128,black stork,True,True,5.227598852040816
129,spoonbill,True,True,5.06218112244898
12,house finch,True,True,4.854910714285714
130,flamingo,True,True,4.715401785714286
131,little blue heron,True,True,4.950573979591836
132,American egret,True,True,4.6117665816326525
133,bittern,True,True,4.830994897959184
134,crane,True,True,5.0043845663265305
135,limpkin,True,True,4.821029974489796
136,European gallinule,True,True,4.8090720663265305
137,American coot,True,True,4.775191326530613
138,bustard,True,True,4.747289540816327
139,ruddy turnstone,True,True,4.880819515306122
13,junco,True,True,4.864875637755102
140,red-backed sandpiper,True,True,4.97249681122449
141,redshank,True,True,4.76921237244898
142,dowitcher,True,True,4.860889668367348
143,oystercatcher,True,True,4.948580994897959
144,pelican,True,True,4.601801658163265
145,king penguin,True,True,4.783163265306122
146,albatross,True,True,4.926658163265306
147,grey whale,True,True,4.7612404336734695
148,killer whale,True,True,4.69547193877551
149,dugong,True,True,4.918686224489796
14,indigo bunting,True,True,4.719387755102041
150,sea lion,True,True,4.994419642857143
151,Chihuahua,True,True,4.878826530612245
152,Japanese spaniel,True,True,4.89875637755102
153,Maltese dog,True,True,4.932637117346939
154,Pekinese,True,True,4.868861607142857
155,Shih-Tzu,True,True,4.69547193877551
156,Blenheim spaniel,True,True,4.868861607142857
157,papillon,True,True,4.852917729591836
158,toy terrier,True,True,5.036272321428571
159,Rhodesian ridgeback,True,True,4.994419642857143
15,robin,True,True,4.982461734693878
160,Afghan hound,True,True,5.096061862244898
161,basset,True,True,4.920679209183673
162,beagle,True,True,5.213647959183673
163,bloodhound,True,True,5.064174107142857
164,bluetick,True,True,5.032286352040816
165,black-and-tan coonhound,True,True,5.211654974489796
166,Walker hound,False,False,5.129942602040816
167,English foxhound,True,True,5.030293367346939
168,redbone,True,True,5.185746173469387
169,borzoi,True,True,5.251514668367348
16,bulbul,True,True,5.135921556122449
170,Irish wolfhound,True,True,4.944595025510204
171,Italian greyhound,True,True,5.0542091836734695
172,whippet,True,True,5.040258290816327
173,Ibizan hound,True,True,4.896763392857143
174,Norwegian elkhound,True,True,4.990433673469387
175,otterhound,False,False,5.042251275510204
176,Saluki,True,True,4.96452487244898
177,Scottish deerhound,False,False,5.147879464285714
178,Weimaraner,True,True,5.112005739795919
179,Staffordshire bullterrier,True,True,4.976482780612245
17,jay,True,True,5.125956632653061
180,American Staffordshire terrier,True,True,5.112005739795919
181,Bedlington terrier,True,True,5.169802295918367
182,Border terrier,True,True,5.18375318877551
183,Kerry blue terrier,True,True,5.123963647959184
184,Irish terrier,False,False,4.97249681122449
185,Norfolk terrier,True,True,4.944595025510204
186,Norwich terrier,True,True,5.028300382653061
187,Yorkshire terrier,True,True,3.589365433673469
188,wire-haired fox terrier,True,True,3.519610969387755
189,Lakeland terrier,True,True,3.481744260204082
18,magpie,True,True,3.511639030612245
190,Sealyham terrier,True,True,3.5036670918367347
191,Airedale,True,True,3.491709183673469
192,cairn,True,True,3.693000637755102
193,Australian terrier,False,False,3.5614636479591835
194,Dandie Dinmont,True,True,3.435905612244898
195,Boston bull,True,True,3.706951530612245
196,miniature schnauzer,True,True,3.427933673469388
197,giant schnauzer,True,True,3.5235969387755106
198,standard schnauzer,True,True,3.555484693877551
199,Scotch terrier,True,True,3.5056600765306123
19,chickadee,True,True,3.7388392857142856
1,goldfish,True,True,3.611288265306122
200,Tibetan terrier,True,True,3.675063775510204
201,silky terrier,True,True,3.563456632653061
202,soft-coated wheaten terrier,True,True,3.5754145408163267
203,West Highland white terrier,True,True,3.4239477040816326
204,Lhasa,True,True,3.563456632653061
205,flat-coated retriever,True,True,3.451849489795918
206,curly-coated retriever,True,True,3.5295758928571432
207,golden retriever,True,True,3.62922512755102
208,Labrador retriever,True,True,3.559470663265306
209,Chesapeake Bay retriever,True,True,3.675063775510204
20,water ouzel,True,True,3.481744260204082
210,German short-haired pointer,True,True,3.461814413265306
211,vizsla,True,True,3.513632015306122
212,English setter,True,True,3.589365433673469
213,Irish setter,True,True,3.5235969387755106
214,Gordon setter,True,True,3.5076530612244894
215,Brittany spaniel,True,True,5.652104591836735
216,clumber,True,True,5.715880102040816
217,English springer,True,True,5.751753826530613
218,Welsh springer spaniel,True,True,5.676020408163265
219,cocker spaniel,True,True,5.755739795918367
21,kite,False,False,5.654097576530613
220,Sussex spaniel,True,True,5.323262117346939
221,Irish water spaniel,False,False,5.578364158163265
222,kuvasz,True,True,5.586336096938775
223,schipperke,True,True,5.528539540816327
224,groenendael,True,True,5.522560586734694
225,malinois,True,True,5.540497448979592
226,briard,True,True,5.833466198979592
227,kelpie,True,True,5.482700892857143
228,komondor,True,True,5.678013392857143
229,Old English sheepdog,True,True,5.528539540816327
22,bald eagle,True,True,5.462771045918367
230,Shetland sheepdog,True,True,5.652104591836735
231,collie,True,True,5.56640625
232,Border collie,True,True,5.662069515306122
233,Bouvier des Flandres,True,True,5.604272959183673
234,Rottweiler,True,True,5.74577487244898
235,German shepherd,True,True,5.540497448979592
236,Doberman,True,True,5.522560586734694
237,miniature pinscher,True,True,5.638153698979592
238,Greater Swiss Mountain dog,True,True,5.389030612244898
239,Bernese mountain dog,True,True,5.514588647959184
23,vulture,False,False,5.578364158163265
240,Appenzeller,True,True,5.622209821428571
241,EntleBucher,True,True,5.6859853316326525
242,boxer,True,True,5.391023596938775
243,bull mastiff,True,True,5.516581632653061
244,Tibetan mastiff,True,True,4.575892857142857
245,French bulldog,True,True,4.420440051020408
246,Great Dane,True,True,4.430404974489796
247,Saint Bernard,True,True,4.502152423469387
248,Eskimo dog,True,True,4.512117346938775
249,malamute,True,True,4.70344387755102
24,great grey owl,True,True,4.637675382653061
250,Siberian husky,True,True,4.518096301020408
251,dalmatian,True,True,4.496173469387755
252,affenpinscher,True,True,4.635682397959184
253,basenji,True,True,4.5141103316326525
254,pug,True,True,4.58187181122449
255,Leonberg,True,True,4.406489158163265
256,Newfoundland,True,True,4.609773596938775
257,Great Pyrenees,True,True,4.651626275510204
258,Samoyed,True,True,4.4164540816326525
259,Pomeranian,True,True,4.551977040816327
25,European fire salamander,True,True,4.522082270408164
260,chow,True,True,4.528061224489796
261,keeshond,True,True,4.545998086734694
262,Brabancon griffon,True,True,4.637675382653061
263,Pembroke,True,True,4.701450892857143
264,Cardigan,True,True,4.697464923469387
265,toy poodle,True,True,4.526068239795919
266,miniature poodle,True,True,4.6117665816326525
267,standard poodle,True,True,4.524075255102041
268,Mexican hairless,True,True,4.587850765306122
269,timber wolf,True,True,4.542012117346939
26,common newt,True,True,4.486208545918367
270,white wolf,True,True,4.414461096938775
271,red wolf,True,True,4.5141103316326525
272,coyote,True,True,4.683514030612245
273,dingo,False,False,6.718351403061225
274,dhole,True,True,6.871811224489796
275,African hunting dog,True,True,6.993383290816327
276,hyena,True,True,6.642617984693877
277,red fox,True,True,6.668526785714287
278,kit fox,True,True,6.732302295918367
279,Arctic fox,True,True,6.845902423469388
27,eft,True,True,6.6167091836734695
280,grey fox,True,True,6.708386479591836
281,tabby,True,True,6.732302295918367
282,tiger cat,True,True,6.688456632653061
283,Persian cat,True,True,6.768176020408164
284,Siamese cat,True,True,6.690449617346939
285,Egyptian cat,False,False,6.732302295918367
286,cougar,True,True,6.792091836734694
287,lynx,True,True,6.814014668367347
288,leopard,True,True,6.841916454081633
289,snow leopard,True,True,6.772161989795919
28,spotted salamander,True,True,6.572863520408164
290,jaguar,True,True,6.7143654336734695
291,lion,True,True,6.582828443877552
292,tiger,True,True,6.748246173469388
293,cheetah,True,True,6.722337372448979
294,brown bear,True,True,6.814014668367347
295,American black bear,True,True,6.525031887755102
296,ice bear,True,True,6.610730229591836
297,sloth bear,True,True,6.503109056122448
298,mongoose,True,True,6.654575892857142
299,meerkat,True,True,6.626674107142858
29,axolotl,False,False,6.726323341836735
2,great white shark,True,True,6.837930484693877
300,tiger beetle,True,True,6.716358418367347
301,ladybug,True,True,6.756218112244898
302,ground beetle,True,True,6.718351403061225
303,long-horned beetle,True,True,6.819993622448979
304,leaf beetle,True,True,6.74625318877551
305,dung beetle,True,True,6.921635841836735
306,rhinoceros beetle,True,True,6.995376275510204
307,weevil,True,True,6.891741071428571
308,fly,True,True,6.94156568877551
309,bee,True,True,7.005341198979592
30,bullfrog,True,True,7.001355229591836
310,ant,True,True,6.915656887755102
311,grasshopper,True,True,6.73030931122449
312,cricket,True,True,7.089046556122448
313,walking stick,True,True,6.800063775510204
314,cockroach,True,True,6.794084821428571
315,mantis,True,True,6.766183035714287
316,cicada,True,True,6.885762117346939
317,leafhopper,True,True,6.814014668367347
318,lacewing,True,True,6.684470663265306
319,dragonfly,True,True,6.991390306122448
31,tree frog,True,True,6.652582908163265
320,damselfly,True,True,6.814014668367347
321,admiral,True,True,6.887755102040815
322,ringlet,True,True,6.923628826530612
323,monarch,True,True,6.861846301020408
324,cabbage butterfly,True,True,6.869818239795919
325,sulphur butterfly,True,True,6.953523596938775
326,lycaenid,True,True,6.955516581632653
327,starfish,True,True,6.523038903061225
328,sea urchin,True,True,6.8359375
329,sea cucumber,True,True,6.861846301020408
32,tailed frog,True,True,6.947544642857142
330,wood rabbit,True,True,5.255500637755102
331,hare,True,True,5.253507653061225
332,Angora,True,True,5.112005739795919
333,hamster,True,True,5.233577806122449
334,porcupine,True,True,5.341198979591836
335,fox squirrel,True,True,5.155851403061225
336,marmot,True,True,5.219626913265306
337,beaver,True,True,5.269451530612245
338,guinea pig,True,True,5.251514668367348
339,sorrel,True,True,5.185746173469387
33,loggerhead,True,True,5.263472576530613
340,zebra,True,True,5.221619897959184
341,hog,True,True,5.345184948979592
342,wild boar,True,True,5.195711096938775
343,warthog,True,True,5.145886479591836
344,hippopotamus,True,True,5.203683035714286
345,ox,True,True,5.365114795918367
346,water buffalo,True,True,5.060188137755102
347,bison,True,True,5.247528698979592
348,ram,True,True,5.25749362244898
349,bighorn,True,True,5.155851403061225
34,leatherback turtle,True,True,5.106026785714286
350,ibex,True,True,5.283402423469387
351,hartebeest,True,True,5.2495216836734695
352,impala,True,True,5.26546556122449
353,gazelle,True,True,5.225605867346939
354,Arabian camel,False,False,5.108019770408164
355,llama,True,True,5.088089923469387
356,weasel,True,True,5.143893494897959
357,mink,True,True,4.990433673469387
358,polecat,True,True,5.1977040816326525
359,black-footed ferret,True,True,5.068160076530613
35,mud turtle,True,True,4.545998086734694
360,otter,True,True,4.524075255102041
361,skunk,True,True,4.412468112244898
362,badger,True,True,4.601801658163265
363,armadillo,False,False,4.569913903061225
364,three-toed sloth,True,True,4.58187181122449
365,orangutan,True,True,4.490194515306122
366,gorilla,True,True,4.559948979591836
367,chimpanzee,True,True,4.623724489795919
368,gibbon,True,True,4.545998086734694
369,siamang,True,True,4.504145408163265
36,terrapin,True,True,4.545998086734694
370,guenon,True,True,4.482222576530613
371,patas,True,True,4.583864795918367
372,baboon,True,True,4.38655931122449
373,macaque,True,True,4.536033163265306
374,langur,True,True,4.444355867346939
375,colobus,True,True,4.635682397959184
376,proboscis monkey,True,True,4.559948979591836
377,marmoset,True,True,4.490194515306122
378,capuchin,True,True,4.494180484693878
379,howler monkey,True,True,4.559948979591836
37,box turtle,True,True,4.536033163265306
380,titi,True,True,4.59781568877551
381,spider monkey,True,True,4.474250637755102
382,squirrel monkey,True,True,4.559948979591836
383,Madagascar cat,True,True,4.57389987244898
384,indri,True,True,4.4164540816326525
385,Indian elephant,True,True,4.619738520408164
386,African elephant,True,True,4.488201530612245
387,lesser panda,True,True,4.530054209183673
388,giant panda,True,True,4.599808673469387
389,barracouta,True,True,5.135921556122449
38,banded gecko,True,True,5.211654974489796
390,eel,True,True,5.307318239795919
391,coho,True,True,5.193718112244898
392,rock beauty,True,True,5.098054846938775
393,anemone fish,True,True,5.058195153061225
394,sturgeon,True,True,5.157844387755102
395,gar,True,True,5.193718112244898
396,lionfish,True,True,5.406967474489796
397,puffer,True,True,5.036272321428571
398,abacus,True,True,5.343191964285714
399,abaya,True,True,5.127949617346939
39,common iguana,True,True,5.137914540816327
3,tiger shark,True,True,5.263472576530613
400,academic gown,True,True,5.239556760204081
401,accordion,True,True,5.26546556122449
402,acoustic guitar,True,True,5.337213010204081
403,aircraft carrier,True,True,5.235570790816327
404,airliner,True,True,5.110012755102041
405,airship,True,True,5.285395408163265
406,altar,True,True,5.203683035714286
407,ambulance,True,True,5.185746173469387
408,amphibian,True,True,5.243542729591836
409,analog clock,True,True,5.106026785714286
40,American chameleon,True,True,5.3471779336734695
410,apiary,True,True,5.137914540816327
411,apron,True,True,5.19172512755102
412,ashcan,True,True,5.169802295918367
413,assault rifle,False,False,5.321269132653061
414,backpack,True,True,5.275430484693878
415,bakery,True,True,5.137914540816327
416,balance beam,True,True,5.311304209183673
417,balloon,True,True,5.4448341836734695
418,ballpoint,True,True,5.534518494897959
419,Band Aid,False,False,5.570392219387755
41,whiptail,False,False,5.337213010204081
420,banjo,True,True,5.522560586734694
421,bannister,True,True,5.404974489795919
422,barbell,True,True,5.25749362244898
423,barber chair,True,True,5.359135841836735
424,barbershop,False,False,5.548469387755102
425,barn,True,True,5.359135841836735
426,barometer,True,True,5.436862244897959
427,barrel,True,True,5.5883290816326525
428,barrow,True,True,5.337213010204081
429,baseball,True,True,5.406967474489796
42,agama,True,True,5.626195790816327
430,basketball,True,True,5.255500637755102
431,bassinet,True,True,5.496651785714286
432,bassoon,True,True,5.500637755102041
433,bathing cap,True,True,5.450813137755102
434,bath towel,True,True,5.319276147959184
435,bathtub,True,True,5.3471779336734695
436,beach wagon,True,True,5.486686862244898
437,beacon,True,True,5.496651785714286
438,beaker,True,True,5.4906728316326525
439,bearskin,True,True,5.462771045918367
43,frilled lizard,True,True,5.524553571428571
440,beer bottle,True,True,5.442841198979592
441,beer glass,False,False,5.345184948979592
442,bell cote,True,True,5.450813137755102
443,bib,True,True,5.606265943877551
444,bicycle-built-for-two,True,True,5.381058673469387
445,bikini,True,True,5.522560586734694
446,binder,True,True,3.940130739795918
447,binoculars,True,True,4.091597576530613
448,birdhouse,True,True,4.121492346938775
449,boathouse,True,True,4.001913265306122
44,alligator lizard,True,True,4.107541454081633
450,bobsled,True,True,4.075653698979592
451,bolo tie,True,True,3.968032525510204
452,bonnet,False,False,4.045758928571429
453,bookcase,True,True,4.023836096938775
454,bookshop,True,True,4.131457270408164
455,bottlecap,True,True,4.067681760204081
456,bow,True,True,4.0278220663265305
457,bow tie,True,True,4.031808035714286
458,brass,True,True,4.073660714285714
459,brassiere,True,True,4.145408163265306
45,Gila monster,True,True,4.135443239795919
460,breakwater,True,True,4.069674744897959
461,breastplate,True,True,4.119499362244898
462,broom,True,True,4.001913265306122
463,bucket,True,True,4.111527423469387
464,buckle,True,True,4.0278220663265305
465,bulletproof vest,True,True,4.179288903061225
466,bullet train,True,True,4.007892219387755
467,butcher shop,True,True,4.243064413265306
468,cab,True,True,4.079639668367348
469,caldron,True,True,4.127471301020408
46,green lizard,True,True,4.067681760204081
470,candle,True,True,4.137436224489796
471,cannon,True,True,4.127471301020408
472,canoe,True,True,4.049744897959184
473,can opener,True,True,4.075653698979592
474,Cardigan,True,True,4.247050382653061
475,cardigan,False,False,5.044244260204081
476,car mirror,True,True,4.892777423469387
477,carousel,False,False,5.127949617346939
478,carpenter's kit,True,True,5.090082908163265
479,carton,True,True,4.815051020408164
47,African chameleon,True,True,4.894770408163265
480,car wheel,False,False,4.876833545918367
481,cash machine,True,True,5.0023915816326525
482,cassette,True,True,4.944595025510204
483,cassette player,False,False,4.888791454081633
484,castle,False,False,5.060188137755102
485,catamaran,True,True,4.984454719387755
486,CD player,False,False,5.096061862244898
487,cello,True,True,4.825015943877551
488,cellular telephone,False,False,4.821029974489796
489,chain,True,True,4.986447704081633
48,Komodo dragon,True,True,5.014349489795919
490,chainlink fence,True,True,5.018335459183673
491,chain mail,True,True,4.952566964285714
492,chain saw,False,False,4.872847576530613
493,chest,True,True,5.010363520408164
494,chiffonier,False,False,4.99641262755102
495,chime,False,False,4.892777423469387
496,china cabinet,False,False,4.924665178571429
