Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,8.378507653061225
100,black swan,True,True,8.689413265306122
101,tusker,True,True,8.673469387755102
102,echidna,True,True,8.68343431122449
103,platypus,True,True,8.523995535714286
104,wallaby,True,True,8.508051658163266
105,koala,True,True,8.502072704081632
106,wombat,True,True,8.38249362244898
107,jellyfish,True,True,8.834901147959185
108,sea anemone,True,True,8.830915178571429
109,brain coral,True,True,8.42235331632653
10,brambling,True,True,8.549904336734695
110,flatworm,True,True,8.703364158163266
111,nematode,True,True,8.711336096938775
112,conch,True,True,8.508051658163266
113,snail,True,True,8.621651785714286
114,slug,True,True,8.679448341836734
115,sea slug,True,True,8.631616709183673
116,chiton,True,True,8.673469387755102
117,chambered nautilus,True,True,8.508051658163266
118,Dungeness crab,False,False,8.547911352040815
119,rock crab,True,True,8.62563775510204
11,goldfinch,True,True,8.53595344387755
120,fiddler crab,True,True,8.478156887755102
121,king crab,True,True,8.663504464285714
122,American lobster,False,False,8.523995535714286
123,spiny lobster,True,True,8.761160714285714
124,crayfish,True,True,8.91063456632653
125,hermit crab,True,True,8.591757015306122
126,isopod,True,True,8.39046556122449
127,white stork,True,True,8.739237882653061
128,black stork,True,True,8.603714923469388
129,spoonbill,True,True,7.535475127551021
12,house finch,True,True,7.928093112244898
130,flamingo,True,True,7.539461096938775
131,little blue heron,True,True,7.5474330357142865
132,American egret,True,True,7.728794642857142
133,bittern,True,True,7.674984056122448
134,crane,True,True,7.786591198979592
135,limpkin,True,True,7.844387755102041
136,European gallinule,True,True,7.750717474489796
137,American coot,True,True,7.599250637755102
138,bustard,True,True,7.852359693877552
139,ruddy turnstone,True,True,7.73875956632653
13,junco,True,True,7.623166454081633
140,red-backed sandpiper,True,True,7.485650510204081
141,redshank,True,True,7.682955994897959
142,dowitcher,True,True,7.790577168367347
143,oystercatcher,True,True,7.507573341836735
144,pelican,True,True,7.748724489795919
145,king penguin,True,True,7.796556122448979
146,albatross,True,True,7.802535076530612
147,grey whale,True,True,8.027742346938775
148,killer whale,True,True,7.350127551020408
149,dugong,True,True,7.792570153061225
14,indigo bunting,True,True,7.80452806122449
150,sea lion,True,True,7.728794642857142
151,Chihuahua,True,True,7.657047193877552
152,Japanese spaniel,True,True,7.619180484693877
153,Maltese dog,True,True,7.828443877551021
154,Pekinese,True,True,7.746731505102041
155,Shih-Tzu,True,True,7.437818877551021
156,Blenheim spaniel,True,True,7.844387755102041
157,papillon,True,True,7.669005102040815
158,toy terrier,True,True,8.37452168367347
159,Rhodesian ridgeback,True,True,8.10546875
15,robin,True,True,8.165258290816327
160,Afghan hound,True,True,8.201132015306122
161,basset,True,True,8.053651147959185
162,beagle,True,True,8.183195153061225
163,bloodhound,True,True,8.045679209183673
164,bluetick,True,True,8.35857780612245
