File,Average Match
Random_0.001_resnet18.csv,0.94
Random_0.001_v3_inception.csv,0.965
Random_0.001_v3_large.csv,0.94
Random_0.001_v3_small.csv,0.94
Random_0.002_resnet18.csv,0.95
Random_0.002_v3_inception.csv,0.94
Random_0.002_v3_large.csv,0.945
Random_0.002_v3_small.csv,0.96
Random_0.005_resnet18.csv,0.955
Random_0.005_v3_inception.csv,0.935
Random_0.005_v3_large.csv,0.935
Random_0.005_v3_small.csv,0.945
Random_0.01_resnet18.csv,0.95
Random_0.01_v3_inception.csv,0.935
Random_0.01_v3_large.csv,0.94
Random_0.01_v3_small.csv,0.94
Random_0.02_resnet18.csv,0.915
Random_0.02_v3_inception.csv,0.835
Random_0.02_v3_large.csv,0.87
Random_0.02_v3_small.csv,0.805
Random_0.05_resnet18.csv,0.38
Random_0.05_v3_inception.csv,0.31
Random_0.05_v3_large.csv,0.295
Random_0.05_v3_small.csv,0.18
Random_0.1_resnet18.csv,0.045
Random_0.1_v3_inception.csv,0.035
Random_0.1_v3_large.csv,0.06
Random_0.1_v3_small.csv,0.045
Random_0.2_resnet18.csv,0.085
Random_0.2_v3_inception.csv,0.065
Random_0.2_v3_large.csv,0.06
Random_0.2_v3_small.csv,0.085
Random_0.5_resnet18.csv,0.065
Random_0.5_v3_inception.csv,0.05
Random_0.5_v3_large.csv,0.07
Random_0.5_v3_small.csv,0.04
