File,Average Match,Removed_Percentage
resnet18,0.6076612903225806,0
resnet18,0.6245210727969349,5
resnet18,0.6227876106194691,10
resnet18,0.796,15
resnet18,0.7563025210084033,20
resnet18,0.5928571428571429,25
resnet18,0.6312997347480106,30
resnet18,0.6848,35
resnet18,0.8251121076233184,40
resnet18,0.8210526315789474,45
resnet18,0.65625,50
resnet18,0.5733333333333334,55
resnet18,0.5840163934426229,60
resnet18,0.48951048951048953,65
resnet18,0.3581730769230769,70
resnet18,0.3103448275862069,75
resnet18,0.20833333333333334,80
resnet18,0.12012012012012012,85
resnet18,0.12530864197530864,90
resnet18,0.12058706862356208,95
inception,0.6404494382022472,0
inception,0.6045,5
inception,0.7022058823529411,10
inception,0.6804281345565749,15
inception,0.6552511415525114,20
inception,0.6260869565217392,25
inception,0.7738095238095238,30
inception,0.7025316455696202,35
inception,0.6847826086956522,40
inception,0.6897880539499036,45
inception,0.6346153846153846,50
inception,0.6111111111111112,55
inception,0.5344129554655871,60
inception,0.4770797962648557,65
inception,0.4398782343987823,70
inception,0.41210374639769454,75
inception,0.23875432525951557,80
inception,0.12104689203925845,85
inception,0.12320916905444126,90
inception,0.1225509028044564,95
large,0.5894417014812001,0
large,0.628,5
large,0.4547677261613692,10
large,0.8411214953271028,15
large,0.6970802919708029,20
large,0.5576923076923077,25
large,0.4852941176470588,30
large,0.7985611510791367,35
large,0.7842323651452282,40
large,0.7383720930232558,45
large,0.6568627450980392,50
large,0.5664739884393064,55
large,0.5,60
large,0.29473684210526313,65
large,0.29900332225913623,70
large,0.26732673267326734,75
large,0.24625850340136055,80
large,0.1171875,85
large,0.1322983462706716,90
large,0.14000814000814002,95
small,0.5663167938931297,0
small,0.6454054054054054,5
small,0.5962389380530974,10
small,0.7134502923976608,15
small,0.882051282051282,20
small,0.7020725388601037,25
small,0.5967213114754099,30
small,0.5909090909090909,35
small,0.7969924812030075,40
small,0.7606837606837606,45
small,0.7055655296229802,50
small,0.6427406199021207,55
small,0.5935483870967742,60
small,0.6111111111111112,65
small,0.24324324324324326,70
small,0.19195046439628483,75
small,0.1791713325867861,80
small,0.16023391812865498,85
small,0.1325221966458402,90
small,0.1332388377037562,95
