Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,6.485172193877552
100,black swan,True,True,19.17450573979592
101,tusker,True,True,7.643096301020408
102,echidna,True,True,3.708944515306122
103,platypus,True,True,27.108577806122447
104,wallaby,True,True,20.754942602040817
105,koala,True,True,53.80660076530612
106,wombat,True,True,24.639269770408163
107,jellyfish,True,True,20.05939094387755
108,sea anemone,True,True,13.982780612244897
109,brain coral,True,True,13.697783801020408
10,brambling,True,True,11.146763392857142
110,flatworm,True,True,12.021683673469388
111,nematode,True,True,50.928730867346935
112,conch,True,True,17.76745854591837
113,snail,True,True,12.63153698979592
114,slug,True,True,20.045440051020407
115,sea slug,True,True,14.393335459183673
116,chiton,True,True,23.81816007653061
117,chambered nautilus,True,True,8.82892219387755
118,Dungeness crab,False,False,10.176179846938776
119,rock crab,True,True,69.95376275510205
11,goldfinch,True,True,10.927535076530612
120,fiddler crab,True,True,28.02933673469388
121,king crab,True,True,13.002232142857142
122,American lobster,True,True,17.797353316326532
123,spiny lobster,True,True,37.657445790816325
124,crayfish,True,True,24.5296556122449
125,hermit crab,True,True,29.58187181122449
126,isopod,True,True,52.95161033163265
127,white stork,True,True,19.45551658163265
128,black stork,True,True,18.421157525510203
129,spoonbill,True,True,22.69013073979592
12,house finch,True,True,32.20463966836735
130,flamingo,True,True,25.57198660714285
131,little blue heron,True,True,28.85243941326531
132,American egret,True,True,10.40138711734694
133,bittern,True,True,38.26132015306122
134,crane,True,True,20.52375637755102
135,limpkin,True,True,21.58601721938776
136,European gallinule,True,True,24.1569674744898
137,American coot,True,True,15.290178571428571
138,bustard,True,True,12.996253188775512
139,ruddy turnstone,True,True,9.410873724489797
13,junco,True,True,32.8125
140,red-backed sandpiper,True,True,12.749123086734691
141,redshank,True,True,23.288026147959183
142,dowitcher,True,True,16.462053571428573
143,oystercatcher,True,True,31.014827806122447
144,pelican,True,True,11.842315051020408
145,king penguin,True,True,14.27375637755102
146,albatross,True,True,19.290098852040817
147,grey whale,True,True,46.96069834183674
148,killer whale,True,True,15.987723214285715
149,dugong,True,True,14.72217793367347
14,indigo bunting,True,True,20.856584821428573
150,sea lion,True,True,28.32429846938776
151,Chihuahua,True,True,40.09287308673469
152,Japanese spaniel,True,True,36.05508609693878
153,Maltese dog,True,True,21.87300701530612
154,Pekinese,True,True,45.49984056122449
155,Shih-Tzu,True,True,9.052136479591836
156,Blenheim spaniel,True,True,25.868941326530614
157,papillon,True,True,34.67793367346938
158,toy terrier,True,True,32.12093431122449
159,Rhodesian ridgeback,True,True,7.407924107142858
15,robin,True,True,28.804607780612244
160,Afghan hound,True,True,43.178013392857146
161,basset,True,True,8.984375
162,beagle,True,True,8.149314413265305
163,bloodhound,True,True,20.643335459183675
164,bluetick,True,True,1.584422831632653
165,black-and-tan coonhound,True,True,12.980309311224488
166,Walker hound,True,True,34.227519132653065
167,English foxhound,True,True,47.69411670918368
168,redbone,True,True,9.77359693877551
169,borzoi,True,True,21.00207270408163
16,bulbul,True,True,13.546316964285715
170,Irish wolfhound,True,True,9.71779336734694
171,Italian greyhound,True,True,6.104512117346939
172,whippet,True,True,25.460379464285715
173,Ibizan hound,True,True,22.10220025510204
174,Norwegian elkhound,True,True,30.70591517857143
175,otterhound,False,False,28.43989158163265
176,Saluki,True,True,31.283880739795915
177,Scottish deerhound,True,True,27.700494260204085
178,Weimaraner,True,True,46.19339923469388
179,Staffordshire bullterrier,True,True,20.396205357142858
17,jay,True,True,41.35044642857143
180,American Staffordshire terrier,True,True,40.28818558673469
181,Bedlington terrier,True,True,11.292251275510203
182,Border terrier,True,True,32.82047193877551
183,Kerry blue terrier,True,True,15.694754464285715
184,Irish terrier,False,False,21.05986926020408
185,Norfolk terrier,True,True,9.31122448979592
186,Norwich terrier,True,True,15.260283801020408
187,Yorkshire terrier,True,True,26.58442283163265
188,wire-haired fox terrier,True,True,27.369658801020407
189,Lakeland terrier,True,True,10.602678571428571
18,magpie,True,True,27.33577806122449
