Index,True_Label,Match,llm_1,Removed_Percentage
0,tench,True,True,80.79360650510205
100,black swan,True,True,85.46914859693877
101,tusker,True,True,48.551100127551024
102,echidna,False,False,56.65656887755102
103,platypus,True,True,60.499043367346935
104,wallaby,True,True,78.60132334183673
105,koala,False,False,86.41980229591837
106,wombat,False,False,83.7631536989796
107,jellyfish,True,True,92.42067920918367
108,sea anemone,True,True,42.39277742346938
109,brain coral,True,True,46.32692920918368
10,brambling,True,True,87.48804209183673
110,flatworm,False,False,96.27311862244898
111,nematode,False,False,98.43949298469389
112,conch,True,True,95.45798788265306
113,snail,True,True,87.80293367346938
114,slug,True,True,89.0186543367347
115,sea slug,False,False,74.62133290816327
116,chiton,True,True,85.75414540816327
117,chambered nautilus,True,True,93.5805963010204
118,Dungeness crab,True,True,93.49689094387756
119,rock crab,False,False,95.54169323979592
11,goldfinch,False,False,69.99561543367348
120,fiddler crab,True,True,48.85403380102041
121,king crab,True,True,95.15106823979592
122,American lobster,True,True,98.88392857142856
123,spiny lobster,True,True,76.43694196428571
124,crayfish,True,True,95.0454400510204
125,hermit crab,True,True,98.95368303571428
126,isopod,True,True,80.3890306122449
127,white stork,True,True,92.45655293367348
128,black stork,True,True,78.04129464285714
129,spoonbill,True,True,85.64054528061224
12,house finch,True,True,66.43415178571429
130,flamingo,True,True,64.96930803571429
131,little blue heron,True,True,85.96540178571429
132,American egret,False,False,75.09964923469387
133,bittern,True,True,76.28148915816327
134,crane,True,True,57.39995216836735
135,limpkin,False,False,82.22257653061224
136,European gallinule,True,True,85.55484693877551
137,American coot,True,True,38.32310267857143
138,bustard,True,True,54.94658801020408
139,ruddy turnstone,False,False,57.11495535714286
13,junco,False,False,80.51458864795919
140,red-backed sandpiper,True,True,97.15999681122447
141,redshank,False,False,93.19794323979592
142,dowitcher,False,False,47.64229910714285
143,oystercatcher,True,True,54.551977040816325
144,pelican,True,True,85.9195631377551
145,king penguin,False,False,47.12412308673469
146,albatross,False,False,48.453443877551024
147,grey whale,False,False,95.10323660714286
148,killer whale,True,True,72.30548469387756
149,dugong,False,False,70.08529974489795
14,indigo bunting,True,True,83.57979910714286
150,sea lion,True,True,50.115593112244895
151,Chihuahua,True,True,94.85610650510203
152,Japanese spaniel,True,True,88.75956632653062
153,Maltese dog,True,True,84.99481823979592
154,Pekinese,True,True,76.41900510204081
155,Shih-Tzu,True,True,37.1452487244898
156,Blenheim spaniel,True,True,58.60770089285714
157,papillon,False,False,83.79504145408163
158,toy terrier,True,True,73.37372448979592
159,Rhodesian ridgeback,True,True,58.11543367346938
15,robin,False,False,72.76985012755102
160,Afghan hound,True,True,91.38233418367348
161,basset,False,False,93.85762117346938
162,beagle,False,False,73.86200573979592
163,bloodhound,True,True,84.8891900510204
164,bluetick,True,True,64.0884088010204
165,black-and-tan coonhound,True,True,83.9126275510204
166,Walker hound,True,True,78.2764668367347
167,English foxhound,False,False,93.85762117346938
168,redbone,False,False,88.27726403061224
169,borzoi,False,False,71.1116868622449
16,bulbul,True,True,60.084502551020414
170,Irish wolfhound,False,False,66.99019451530613
171,Italian greyhound,True,True,95.13711734693877
172,whippet,True,True,77.2999043367347
173,Ibizan hound,True,True,90.10483099489797
174,Norwegian elkhound,True,True,71.00605867346938
175,otterhound,False,False,79.78515625
176,Saluki,False,False,88.09789540816327
177,Scottish deerhound,True,True,64.4351881377551
178,Weimaraner,True,True,99.4579081632653
179,Staffordshire bullterrier,True,True,93.70814732142856
17,jay,True,True,95.11519451530611
180,American Staffordshire terrier,True,True,93.78388073979592
181,Bedlington terrier,False,False,97.13608099489797
182,Border terrier,True,True,54.95655293367348
183,Kerry blue terrier,False,False,91.3803411989796
184,Irish terrier,True,True,81.04671556122449
185,Norfolk terrier,True,True,58.83290816326531
186,Norwich terrier,False,False,90.70272640306123
187,Yorkshire terrier,False,False,95.3483737244898
188,wire-haired fox terrier,False,False,70.41613520408163
189,Lakeland terrier,False,False,61.180644132653065
18,magpie,True,True,86.8602519132653
190,Sealyham terrier,True,True,81.29783163265306
191,Airedale,False,False,68.60052614795919
192,cairn,True,True,99.4499362244898
193,Australian terrier,False,False,37.820870535714285
194,Dandie Dinmont,True,True,71.86104910714286
195,Boston bull,False,False,92.27519132653062
196,miniature schnauzer,True,True,81.2320631377551
197,giant schnauzer,False,False,90.66286670918367
198,standard schnauzer,False,False,56.634646045918366
199,Scotch terrier,False,False,96.29105548469389
19,chickadee,False,False,82.14086415816327
1,goldfish,True,True,80.69794323979592
200,Tibetan terrier,True,True,30.17777423469388
201,silky terrier,False,False,92.56816007653062
202,soft-coated wheaten terrier,True,True,32.31425382653062
203,West Highland white terrier,True,True,70.2945631377551
204,Lhasa,False,False,97.13608099489797
205,flat-coated retriever,True,True,37.09542410714285
206,curly-coated retriever,True,True,94.5671237244898
207,golden retriever,True,True,86.9858099489796
208,Labrador retriever,True,True,88.71372767857143
209,Chesapeake Bay retriever,False,False,42.79934630102041
20,water ouzel,False,False,45.57955994897959
210,German short-haired pointer,False,False,70.54767219387756
211,vizsla,True,True,72.3891900510204
212,English setter,True,True,49.56752232142857
213,Irish setter,True,True,98.46938775510203
214,Gordon setter,False,False,95.39421237244898
215,Brittany spaniel,True,True,77.30986926020408
216,clumber,False,False,69.24426020408163
217,English springer,True,True,70.3663105867347
218,Welsh springer spaniel,True,True,91.1571269132653
219,cocker spaniel,True,True,89.2219387755102
21,kite,False,False,83.40441645408163
220,Sussex spaniel,True,True,86.89413265306123
221,Irish water spaniel,True,True,90.38982780612244
222,kuvasz,True,True,87.68335459183673
223,schipperke,True,True,67.7475286989796
224,groenendael,False,False,95.5337213010204
225,malinois,False,False,86.3899075255102
226,briard,True,True,85.92554209183673
227,kelpie,True,True,82.29233099489795
228,komondor,True,True,92.89102359693877
229,Old English sheepdog,False,False,50.42849170918368
22,bald eagle,True,True,86.66294642857143
230,Shetland sheepdog,True,True,93.62045599489797
231,collie,True,True,89.30564413265306
232,Border collie,True,True,88.02016900510205
233,Bouvier des Flandres,True,True,63.721699617346935
234,Rottweiler,True,True,77.12850765306123
235,German shepherd,True,True,82.72879464285714
236,Doberman,True,True,84.59024234693877
237,miniature pinscher,False,False,95.37627551020408
238,Greater Swiss Mountain dog,True,True,85.12236926020408
239,Bernese mountain dog,True,True,90.23836096938776
23,vulture,False,False,89.19802295918367
