File,Average Match
Saliency_0.001_resnet18.csv,0.715
Saliency_0.001_v3_inception.csv,0.72
Saliency_0.001_v3_large.csv,0.715
Saliency_0.001_v3_small.csv,0.715
Saliency_0.002_resnet18.csv,0.735
Saliency_0.002_v3_inception.csv,0.71
Saliency_0.002_v3_large.csv,0.73
Saliency_0.002_v3_small.csv,0.715
Saliency_0.005_resnet18.csv,0.73
Saliency_0.005_v3_inception.csv,0.73
Saliency_0.005_v3_large.csv,0.75
Saliency_0.005_v3_small.csv,0.745
Saliency_0.01_resnet18.csv,0.73
Saliency_0.01_v3_inception.csv,0.745
Saliency_0.01_v3_large.csv,0.77
Saliency_0.01_v3_small.csv,0.755
Saliency_0.02_resnet18.csv,0.76
Saliency_0.02_v3_inception.csv,0.765
Saliency_0.02_v3_large.csv,0.755
Saliency_0.02_v3_small.csv,0.795
Saliency_0.05_resnet18.csv,0.82
Saliency_0.05_v3_inception.csv,0.81
Saliency_0.05_v3_large.csv,0.82
Saliency_0.05_v3_small.csv,0.885
Saliency_0.1_resnet18.csv,0.83
Saliency_0.1_v3_inception.csv,0.84
Saliency_0.1_v3_large.csv,0.84
Saliency_0.1_v3_small.csv,0.87
Saliency_0.2_resnet18.csv,0.85
Saliency_0.2_v3_inception.csv,0.815
Saliency_0.2_v3_large.csv,0.87
Saliency_0.2_v3_small.csv,0.82
Saliency_0.5_resnet18.csv,0.715
Saliency_0.5_v3_inception.csv,0.7
Saliency_0.5_v3_large.csv,0.78
Saliency_0.5_v3_small.csv,0.675
