File,Average Match
Saliency_0.001_v3_inception.csv,0.94
Saliency_0.001_v3_large.csv,0.93
Saliency_0.001_v3_small.csv,0.93
Saliency_0.002_resnet18.csv,0.93
Saliency_0.002_v3_inception.csv,0.945
Saliency_0.002_v3_large.csv,0.95
Saliency_0.002_v3_small.csv,0.945
Saliency_0.005_resnet18.csv,0.955
Saliency_0.005_v3_inception.csv,0.955
Saliency_0.005_v3_large.csv,0.955
Saliency_0.005_v3_small.csv,0.94
Saliency_0.01_resnet18.csv,0.965
Saliency_0.01_v3_inception.csv,0.96
Saliency_0.01_v3_large.csv,0.955
Saliency_0.01_v3_small.csv,0.96
Saliency_0.02_resnet18.csv,0.96
Saliency_0.02_v3_inception.csv,0.925
Saliency_0.02_v3_large.csv,0.925
Saliency_0.02_v3_small.csv,0.88
Saliency_0.05_resnet18.csv,0.715
Saliency_0.05_v3_inception.csv,0.695
Saliency_0.05_v3_large.csv,0.695
Saliency_0.05_v3_small.csv,0.455
Saliency_0.1_resnet18.csv,0.515
Saliency_0.1_v3_inception.csv,0.49
Saliency_0.1_v3_large.csv,0.585
Saliency_0.1_v3_small.csv,0.44
Saliency_0.2_resnet18.csv,0.53
Saliency_0.2_v3_inception.csv,0.345
Saliency_0.2_v3_large.csv,0.545
Saliency_0.2_v3_small.csv,0.39
Saliency_0.5_resnet18.csv,0.135
Saliency_0.5_v3_inception.csv,0.105
Saliency_0.5_v3_large.csv,0.155
Saliency_0.5_v3_small.csv,0.12
