File,Average Match
Saliency_0.001_resnet18.csv,0.242
Saliency_0.001_v3_inception.csv,0.236
Saliency_0.001_v3_large.csv,0.236
Saliency_0.001_v3_small.csv,0.228
Saliency_0.002_resnet18.csv,0.234
Saliency_0.002_v3_inception.csv,0.238
Saliency_0.002_v3_large.csv,0.226
Saliency_0.002_v3_small.csv,0.236
Saliency_0.005_resnet18.csv,0.236
Saliency_0.005_v3_inception.csv,0.236
Saliency_0.005_v3_large.csv,0.228
Saliency_0.005_v3_small.csv,0.21
Saliency_0.01_resnet18.csv,0.222
Saliency_0.01_v3_inception.csv,0.216
Saliency_0.01_v3_large.csv,0.216
