Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,tench,tench,tench,Maltese dog,fish,animal,mammal,carnivore,dog
100,black swan,True,tench,tench,black swan,tench,tench,bird,waterfowl,swan,animal,wildlife
101,tusker,False,Indian elephant,African elephant,tench,tench,tench,Elephant,African Elephant,Elephantidae,Mammalia,Animals
102,echidna,True,tench,echidna,tench,tench,echidna,Animal,Echidna,Mammal,Monotreme,Echidna
103,platypus,False,tench,tench,tench,tench,tench,duck,animal,bird,mammal,waterfowl
104,wallaby,False,tench,tench,tench,Maltese dog,German shepherd,Mammal,Carnivore,Canine,Dog,German Shepherd Dog
105,koala,True,koala,tench,tench,tench,tench,koala,mammal,animal,marsupial,eutherian
106,wombat,False,tench,tench,tench,tench,tench,Mammal,Animal,Rodent,Small mammal,Carnivore
107,jellyfish,False,tench,anemone fish,Maltese dog,tiger cat,Indian elephant,bird,fish,dog,cat,elephant
108,sea anemone,True,tench,tench,tench,sea anemone,tench,Animal,Arthropod,Echinoderms,Sea anemone,Actiniaria
109,brain coral,False,anemone fish,tench,tench,Maltese dog,tench,fish,animal,mammal,dog,domesticated mammal
10,brambling,False,tench,tench,tench,tench,tench,bird,small bird,songbird,passerine,sparrow
110,flatworm,False,sea slug,tench,tench,tench,tench,Sea slug,Opisthobranch,Gastropod,Mollusc,Animal
111,nematode,True,tench,nematode,tench,tench,tench,roundworm,nematode,animal,vertebrate,mammal
112,conch,False,anemone fish,snail,tench,tench,tench,fish,snail,shell,animal,mollusk
113,snail,True,tench,snail,tench,tench,tench,shell,sea snail,mollusk shell,bivalve mollusk shell,marine bivalve mollusk shell
114,slug,False,tench,tench,tench,tench,snail,Animal,Arthropod,Insect,Gastropod,Snail
115,sea slug,False,anemone fish,tench,tench,tench,Maltese dog,fish,bird,insect,animal,dog
116,chiton,False,tench,tench,tench,tench,tench,shell,bivalve shell,mollusc shell,animal part,body part
117,chambered nautilus,True,tench,chambered nautilus,tench,chambered nautilus,chambered nautilus,shell,nautilus shell,coquid shell,chambered nautilus,chambered nautilus shell
118,Dungeness crab,False,tench,tench,tench,tench,tench,crustacean,animal,arthropod,invertebrate,crustacean
119,rock crab,False,Dungeness crab,tench,tench,tench,tench,crab,animal,invertebrate,arthropod,crustacean
11,goldfinch,True,tench,goldfinch,tench,tench,tench,bird,goldfinch,animal,yellow bird,songbird
120,fiddler crab,False,Dungeness crab,tench,tench,tench,tench,crab,animal,invertebrate,arthropod,crustacean
121,king crab,False,tench,tench,tench,tench,tench,crustacean,animal,creatures,invertebrate,arthropod
122,American lobster,False,tench,tench,tench,tench,tench,shrimp,food,seafood,cooking,meal
123,spiny lobster,False,Dungeness crab,tench,tench,tench,tench,crab,animal,invertebrate,arthropod,crustacean
124,crayfish,False,Dungeness crab,tench,tench,tench,tench,crab,animal,invertebrate,arthropod,crustacean
125,hermit crab,False,tench,tench,snail,snail,tench,Animal,Mollusc,Snail,Land Snail,Cephalaspis
126,isopod,False,tench,tench,tench,tench,tench,Isopoda,Arthropod,Invertebrate,Animal,Crustacean
127,white stork,True,tench,white stork,tench,tench,tench,bird,stork,animal,wildlife,animal
128,black stork,False,tench,tench,tench,black widow,tench,bird,wading bird,stilt,black-necked stilt,animal
129,spoonbill,True,tench,tench,tench,spoonbill,spoonbill,bird,wading bird,heron,spoonbill,roseate spoonbill
12,house finch,True,tench,house finch,house finch,tench,tench,bird,finch,house finch,passeriformes,animal
130,flamingo,True,tench,water ouzel,flamingo,tench,tench,bird,water bird,flamingo,animal,wildlife
131,little blue heron,False,tench,tench,tench,water ouzel,tench,bird,heron,wading bird,water bird,long-billed heron
132,American egret,False,tench,tench,tench,tench,tench,bird,heron,animal,wildlife,nature
133,bittern,False,tench,American egret,tench,tench,tench,Bird,Egret,Long-billed Curlew,Wading Bird,Waterbird
134,crane,True,tench,crane,tench,tench,tench,bird,crane,gruiformes,animal,wildlife
135,limpkin,False,tench,tench,tench,tench,tench,bird,heron,animal,wildlife,nature
136,European gallinule,False,tench,tench,prairie chicken,tench,tench,bird,pigeon,chicken,fowl,animal
137,American coot,False,tench,tench,tench,tench,tench,bird,duck,animal,waterfowl,animal
138,bustard,False,tench,crane,tench,tench,tench,bird,crane,animal,wildlife,nature
139,ruddy turnstone,True,tench,water ouzel,tench,tench,ruddy turnstone,bird,water bird,shorebird,sandpiper,ruddy turnstone
13,junco,False,tench,tree frog,tench,tench,tench,bird,tree,branch,leaves,sky
140,red-backed sandpiper,False,tench,tench,tench,tench,tench,bird,shorebird,sandpiper,semipalmated sandpiper,animal
141,redshank,False,tench,tench,spotted salamander,tench,tench,bird,sandpiper,spotted sandpiper,animal,wildlife
142,dowitcher,False,tench,tench,tench,tench,water ouzel,bird,shorebird,sandpiper,semipalmated sandpiper,semipalmated sandpiper standing in water
143,oystercatcher,False,tench,tench,tench,water ouzel,tench,bird,duck,animal,water bird,animal
144,pelican,True,pelican,tench,tench,tench,tench,Pelican,Bird,Animal,Wildlife,Animals
145,king penguin,True,king penguin,tench,tench,tench,tench,penguin,bird,animal,mammal,vertebrate
146,albatross,True,tench,albatross,albatross,tench,tench,bird,albatross,southern royal albatross,diomedeasuperciliosus,animal
147,grey whale,True,grey whale,tench,tench,tench,tench,whale,animal,mammal,cetacea,balaenopteridae
148,killer whale,False,tench,tench,tench,tench,tench,Cetacea,Odontoceti,Delphinidae,Orcinus orca,Lagenorhynchus albirostris
149,dugong,True,tench,tench,tench,tench,dugong,Mammal,Cetacea,Odontoceti,Dugongidae,Dugong
14,indigo bunting,False,tench,tench,tench,tench,tench,bird,blue,small,feathered,beak
150,sea lion,False,tench,tench,tench,tench,tench,seal,animal,mammal,marine mammal,pinniped
151,Chihuahua,True,Chihuahua,Maltese dog,tench,tench,tench,Chihuahua,Dog,Animal,Mammal,Pet
152,Japanese spaniel,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Vertebrate
153,Maltese dog,True,Maltese dog,tench,tench,tench,tench,dog,animal,mammal,canine,pet
154,Pekinese,False,Maltese dog,tench,tench,tench,tench,Dog,Animal,Mammal,Canine,Pet
155,Shih-Tzu,True,Maltese dog,Shih-Tzu,tench,tench,tench,Dog,Shih Tzu,Animal,Mammal,Pet
156,Blenheim spaniel,False,Maltese dog,tench,tench,tench,tench,dog,animal,pet,mammal,canine
157,papillon,False,Maltese dog,toy terrier,toy terrier,tench,tench,Dog,Terrier,Jack Russell Terrier,Canine,Mammal
158,toy terrier,False,Doberman,Maltese dog,tench,tench,tench,Doberman Pinscher,Dog,Canine,Mammal,Animal
159,Rhodesian ridgeback,False,Maltese dog,red fox,red fox,tench,tench,dog,fox,red fox,animal,mammal
15,robin,False,tench,tench,tench,tench,tree frog,bird,animal,feathered,beak,tree
160,Afghan hound,True,Afghan hound,Maltese dog,tench,tench,tench,Afghan Hound,Dog,Canine,Animal,Mammal
161,basset,False,Maltese dog,beagle,tench,tench,tench,Dog,Beagle,Animal,Mammal,Canine
162,beagle,True,Maltese dog,beagle,tench,tench,tench,dog,beagle,animal,mammal,canine
163,bloodhound,False,Maltese dog,tench,Maltese dog,tench,tench,Dog,Person,Hound dog,Woman,Outdoor
164,bluetick,True,Maltese dog,cocker spaniel,bluetick,English setter,Norfolk terrier,dog,cocker spaniel,bluetick coonhound,english setter,norfolk terrier
165,black-and-tan coonhound,False,tench,Maltese dog,tench,tench,tench,Dachshund,Dog,Canine,Animal,Mammal
166,Walker hound,False,Maltese dog,toy terrier,toy terrier,tench,tench,Dog,Terrier,Jack Russell Terrier,Canine,Mammal
167,English foxhound,False,Maltese dog,beagle,tench,tench,tench,Dog,Beagle,Animal,Mammal,Canine
168,redbone,False,Maltese dog,tench,tench,tench,tench,dog,puppy,animal,mammal,pet
169,borzoi,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Vertebrate
16,bulbul,False,tench,tench,tench,tench,tench,bird,bird,bird,bird,bird
170,Irish wolfhound,True,Maltese dog,toy terrier,Irish wolfhound,tench,tench,Dog,Terrier,Irish Wolfhound,Animal,Mammal
171,Italian greyhound,False,Maltese dog,tench,tench,tench,toy terrier,Dog,Animal,Mammal,Canine,Terrier
172,whippet,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Vertebrate
173,Ibizan hound,False,Maltese dog,toy terrier,Italian greyhound,tench,tench,Dog,Terrier,Italian Greyhound,Canine,Mammal
174,Norwegian elkhound,False,Maltese dog,tench,tench,tench,tench,Dog,Canine,Mammal,Animal,Vertebrate
175,otterhound,False,tiger cat,tench,tench,tench,tench,Cat,Animal,Mammal,Domesticated Animal,Feline
176,Saluki,False,Maltese dog,tench,tench,tench,tench,Dog,Animal,Mammal,Canine,Pet
177,Scottish deerhound,False,Maltese dog,toy terrier,Irish wolfhound,tench,tench,Dog,Terrier,Irish Wolfhound,Animal,Mammal
178,Weimaraner,False,Maltese dog,tench,tench,tench,tench,Dog,Animal,Mammal,Canine,Pet
179,Staffordshire bullterrier,False,Maltese dog,Maltese dog,Boston bull,Maltese dog,tench,Dog,Brachycephalic dog,Pit bull,Brown dog,Animal
17,jay,True,tench,jay,tench,tench,tench,bird,blue jay,animal,feathered,beak
180,American Staffordshire terrier,True,Maltese dog,toy terrier,American Staffordshire terrier,tench,tench,Dog,Terrier,American Staffordshire Terrier,Breed,Canine
181,Bedlington terrier,False,Maltese dog,tench,Afghan hound,tench,tench,Dog,Breed,Afghan Hound,Canine,Animal
182,Border terrier,False,Maltese dog,toy terrier,Irish terrier,tench,tench,Dog,Terrier,Irish Terrier,Animal,Mammal
183,Kerry blue terrier,False,Maltese dog,tench,dining table,barber chair,tench,dog,person,table,chair,floor
184,Irish terrier,False,Maltese dog,tench,tench,tench,tench,dog,animal,mammal,canine,pet
185,Norfolk terrier,True,Maltese dog,toy terrier,Norfolk terrier,tench,tench,Dog,Terrier,Norfolk Terrier,Puppy,Animal
186,Norwich terrier,False,Maltese dog,toy terrier,Yorkshire terrier,tench,tench,Dog,Terrier,Yorkshire Terrier,Animal,Mammal
187,Yorkshire terrier,True,Maltese dog,Yorkshire terrier,tench,tench,tench,Dog,Yorkshire Terrier,Animal,Mammal,Canine
188,wire-haired fox terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Mammal,Animal,Vertebrate
189,Lakeland terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Canine,Mammal,Animal
18,magpie,False,tench,tench,tench,tench,tench,bird,animal,wildlife,animal,bird
190,Sealyham terrier,False,toy terrier,Maltese dog,tench,tench,tench,Terrier,Dog,Mammal,Animal,Vertebrate
191,Airedale,False,Maltese dog,toy terrier,Irish terrier,tench,tench,Dog,Terrier,Irish Terrier,Animal,Mammal
192,cairn,False,Maltese dog,toy terrier,toy terrier,tench,tench,Dog,Terrier,Scottish Terrier,Animal,Mammal
193,Australian terrier,False,Maltese dog,toy terrier,Yorkshire terrier,tench,tench,Dog,Terrier,Yorkshire Terrier,Animal,Mammal
194,Dandie Dinmont,False,Maltese dog,toy terrier,Yorkshire terrier,tench,tench,Dog,Terrier,Yorkshire Terrier,Animal,Mammal
195,Boston bull,False,toy terrier,Maltese dog,tench,tench,tench,Boston Terrier,Dog,Animal,Mammal,Canine
196,miniature schnauzer,False,Maltese dog,tench,tench,tench,tench,dog,animal,mammal,canine,pet
197,giant schnauzer,False,Maltese dog,toy terrier,Maltese dog,borzoi,toy poodle,Dog,Terrier,Kangal Dog,Borzoi,Poodle
198,standard schnauzer,False,Maltese dog,toy terrier,miniature schnauzer,miniature schnauzer,tench,Dog,Terrier,Schnauzer,Miniature Schnauzer,Animal
199,Scotch terrier,False,Maltese dog,tench,tench,tench,tench,dog,animal,mammal,canine,pet
19,chickadee,False,tench,tench,tench,tench,tench,bird,animal,feathered,beak,perch
1,goldfish,True,anemone fish,goldfish,tench,tench,tench,fish,goldfish,animal,mammal,carnivore
