Index,True_Label,Match,Class_1,Class_2,Class_3,Class_4,Class_5,llm_1,llm_2,llm_3,llm_4,llm_5
0,tench,True,anemone fish,goldfish,tench,tench,tench,fish,goldfish,animal,mammal,carnivore
100,black swan,False,tench,tench,tench,tench,black widow,bird,animal,feathered,beak,black
101,tusker,False,Indian elephant,African elephant,tench,tench,tench,Elephant,African Elephant,Animal,Mammal,Large Mammal
102,echidna,False,tench,rock python,tench,tench,space bar,asteroid,rock,meteorite,comet,space debris
103,platypus,True,platypus,tench,tench,tench,tench,platypus,mammal,animal,rodent,carnivore
104,wallaby,False,tench,tench,mouse,tench,tench,Mammal,Rodent,Mouse,Animal,Carnivore
105,koala,False,anemone fish,tench,tench,tench,tench,fish,animal,mammal,carnivore,canid
106,wombat,False,mouse,tench,tench,tench,tench,mouse,animal,mammal,rodent,small mammal
107,jellyfish,False,acoustic guitar,tench,tench,tench,tench,guitar,musical instrument,instrument,stringed instrument,woodwind instrument
108,sea anemone,True,sea anemone,sea anemone,tench,tench,tench,Sea Anemone,Anemone,Actiniaria,Animalia,Invertebrate
109,brain coral,False,anemone fish,tench,Maltese dog,tiger cat,Indian elephant,fish,bird,dog,cat,elephant
10,brambling,False,tench,tench,tench,tench,tench,bird,duck,animal,wildlife,waterfowl
110,flatworm,False,tree frog,tree frog,tench,tench,tench,Palm tree,Tree,Plant,Outdoor scene,Scene
111,nematode,False,umbrella,beach wagon,tench,tench,tench,Umbrella,Beach Scene,Waterfall,Landscape,Coastal Scene
112,conch,True,tench,tench,tench,conch,chambered nautilus,Shell,Seashell,Coquillage,Conch,Nautilus shell
113,snail,True,tench,snail,tench,tench,tench,shell,snail,invertebrate,animal,creatures
114,slug,False,tench,tench,tench,tench,snail,Animal,Arthropod,Insect,Gastropod,Snail
115,sea slug,False,tench,tench,tench,tench,tench,bird,parrot,animal,beak,eye
116,chiton,False,tench,snail,tench,tench,tench,Abalone,Sea Snail,Shellfish,Mollusk,Animal
117,chambered nautilus,True,tench,chambered nautilus,tench,chambered nautilus,chambered nautilus,shell,nautilus shell,coquid shell,chambered nautilus,chambered nautilus shell
118,Dungeness crab,False,anemone fish,tench,tench,Maltese dog,tench,fish,animal,mammal,dog,domesticated animal
119,rock crab,False,leatherback turtle,tench,tench,tench,tench,Turtle,Reptile,Animal,Mammal,Vertebrate
11,goldfinch,False,tench,tench,tench,tench,tench,bird,yellow bird,small yellow bird,canary,songbird
120,fiddler crab,False,tench,tench,tench,tench,tench,Crustacean,Arthropod,Animal,Invertebrate,Ecdysozoa
121,king crab,False,Dungeness crab,tench,tench,tench,tench,crab,animal,invertebrate,arthropod,crustacean
122,American lobster,False,tench,tench,tench,tench,Petri dish,shrimp,food,seafood,cooking,dish
123,spiny lobster,False,anemone fish,tench,tench,tench,tench,fish,crustacean,animal,invertebrate,marine life
124,crayfish,False,anemone fish,tench,tench,tench,tench,fish,crustacean,insect,bird,mammal
125,hermit crab,False,tench,tench,snail,snail,tench,Animal,Mollusc,Snail,Land Snail,Cephalaspis
126,isopod,False,tench,table lamp,tench,tench,tench,Chandelier,Lamp,Lighting fixture,Candelabra,Crystal chandelier
127,white stork,True,tench,white stork,tench,tench,tench,bird,stork,animal,wildlife,animal
128,black stork,False,tench,white stork,tench,tench,tench,bird,stork,animal,wildlife,animal
129,spoonbill,False,tench,tench,flamingo,flamingo,tench,bird,wading bird,flamingo,greater flamingo,animal
12,house finch,True,tench,house finch,house finch,tench,tench,bird,finch,house finch,passeriformes,animal
130,flamingo,True,tench,water ouzel,flamingo,tench,tench,bird,water bird,flamingo,animal,wildlife
131,little blue heron,False,tench,tench,tench,tench,water ouzel,bird,long-billed bird,heron,wading bird,water bird
132,American egret,True,tench,tench,white stork,American egret,American egret,bird,heron,white heron,great egret,egret
133,bittern,False,tench,wild boar,tench,tench,tailed frog,Bird,Wild Bird,Birds of Prey,Hawk,Red-tailed Hawk
134,crane,True,tench,crane,tench,tench,tench,bird,crane,gruiformes,animal,wildlife
135,limpkin,False,tench,tench,American egret,tench,tench,bird,heron,egret,wading bird,animal
136,European gallinule,False,prairie chicken,tench,tench,tench,tench,chicken,bird,animal,farm animal,fowl
137,American coot,False,tench,tench,tench,tench,tench,bird,duck,animal,wildlife,waterfowl
138,bustard,False,tench,tench,tench,tench,tench,Emu,Bird,Animal,Wildlife,Animals
139,ruddy turnstone,True,tench,ruddy turnstone,tench,tench,tench,Bird,Ruddy Turnstone,Turnstones,Scolopacidae,Charadriiformes
13,junco,False,tench,tench,tench,tench,tench,Abstract,Painting,Artwork,Canvas,Wallpaper
140,red-backed sandpiper,False,tench,tench,tench,tench,tench,bird,sandpiper,semipalmated sandpiper,animal,vertebrate
141,redshank,False,tench,tench,spotted salamander,tench,tench,bird,sandpiper,spotted sandpiper,animal,wildlife
142,dowitcher,False,tench,tench,tench,tench,tench,bird,sandpiper,semipalmated sandpiper,animal,wildlife
143,oystercatcher,False,tench,tench,tench,water ouzel,tench,bird,duck,animal,water bird,animal
144,pelican,True,pelican,tench,tench,tench,tench,Pelican,Bird,Animal,Wildlife,Animals
145,king penguin,True,king penguin,tench,tench,tench,tench,penguin,bird,animal,wildlife,mammal
146,albatross,False,tench,tench,tench,tench,tench,bird,animal,feathered,beak,eye
147,grey whale,False,mountain bike,snow leopard,ice bear,rock python,tench,Mountain,Snow,Ice,Rock,Waterfall
148,killer whale,False,tench,tench,tench,tench,tench,Cetacea,Odontoceti,Delphinidae,Orcinus orca,Lagenorhynchus albirostris
149,dugong,False,tench,tench,tench,tench,tench,Manatee,Mammal,Cetacea,Sirenian,Vitelloniidae
14,indigo bunting,True,tench,tench,tench,indigo bunting,tench,bird,blue bird,small blue bird,indigo bunting,passerine bird
150,sea lion,False,tench,tench,tench,tench,tench,Seal,Mammal,Animal,Vertebrate,Carnivore
151,Chihuahua,True,Chihuahua,Maltese dog,tench,tench,tench,Chihuahua,Dog,Animal,Mammal,Canine
152,Japanese spaniel,False,Maltese dog,tench,tench,tench,tench,Dog,Animal,Mammal,Carnivore,Canine
