File,Average Match
GuidedGradCam_100_resnet18.csv,0.0
GuidedGradCam_100_v3_inception.csv,0.0
GuidedGradCam_100_v3_large.csv,0.0
GuidedGradCam_100_v3_small.csv,0.0
GuidedGradCam_10_resnet18.csv,0.3
GuidedGradCam_10_v3_inception.csv,0.335
GuidedGradCam_10_v3_large.csv,0.29
GuidedGradCam_10_v3_small.csv,0.285
GuidedGradCam_15_resnet18.csv,0.27
GuidedGradCam_15_v3_inception.csv,0.315
GuidedGradCam_15_v3_large.csv,0.285
GuidedGradCam_15_v3_small.csv,0.3
GuidedGradCam_20_resnet18.csv,0.245
GuidedGradCam_20_v3_inception.csv,0.275
GuidedGradCam_20_v3_large.csv,0.245
GuidedGradCam_20_v3_small.csv,0.235
GuidedGradCam_25_resnet18.csv,0.215
GuidedGradCam_25_v3_inception.csv,0.21
GuidedGradCam_25_v3_large.csv,0.2
GuidedGradCam_25_v3_small.csv,0.18
GuidedGradCam_30_resnet18.csv,0.23
GuidedGradCam_30_v3_inception.csv,0.265
GuidedGradCam_30_v3_large.csv,0.21
GuidedGradCam_30_v3_small.csv,0.215
GuidedGradCam_35_resnet18.csv,0.185
GuidedGradCam_35_v3_inception.csv,0.29
GuidedGradCam_35_v3_large.csv,0.27
GuidedGradCam_35_v3_small.csv,0.25
GuidedGradCam_40_resnet18.csv,0.215
GuidedGradCam_40_v3_inception.csv,0.25
GuidedGradCam_40_v3_large.csv,0.27
GuidedGradCam_40_v3_small.csv,0.26
GuidedGradCam_45_resnet18.csv,0.235
GuidedGradCam_45_v3_inception.csv,0.265
GuidedGradCam_45_v3_large.csv,0.175
GuidedGradCam_45_v3_small.csv,0.215
GuidedGradCam_50_resnet18.csv,0.205
GuidedGradCam_50_v3_inception.csv,0.18
GuidedGradCam_50_v3_large.csv,0.155
GuidedGradCam_50_v3_small.csv,0.205
GuidedGradCam_55_resnet18.csv,0.205
GuidedGradCam_55_v3_inception.csv,0.275
GuidedGradCam_55_v3_large.csv,0.265
GuidedGradCam_55_v3_small.csv,0.285
GuidedGradCam_5_resnet18.csv,0.305
GuidedGradCam_5_v3_inception.csv,0.355
GuidedGradCam_5_v3_large.csv,0.355
GuidedGradCam_5_v3_small.csv,0.315
GuidedGradCam_60_resnet18.csv,0.175
GuidedGradCam_60_v3_inception.csv,0.21
GuidedGradCam_60_v3_large.csv,0.215
GuidedGradCam_60_v3_small.csv,0.25
GuidedGradCam_65_resnet18.csv,0.16
GuidedGradCam_65_v3_inception.csv,0.27
GuidedGradCam_65_v3_large.csv,0.28
GuidedGradCam_65_v3_small.csv,0.32
GuidedGradCam_70_resnet18.csv,0.145
GuidedGradCam_70_v3_inception.csv,0.225
GuidedGradCam_70_v3_large.csv,0.255
GuidedGradCam_70_v3_small.csv,0.31
GuidedGradCam_75_resnet18.csv,0.08
GuidedGradCam_75_v3_inception.csv,0.13
GuidedGradCam_75_v3_large.csv,0.1
GuidedGradCam_75_v3_small.csv,0.135
GuidedGradCam_80_resnet18.csv,0.085
GuidedGradCam_80_v3_inception.csv,0.175
GuidedGradCam_80_v3_large.csv,0.175
GuidedGradCam_80_v3_small.csv,0.2
GuidedGradCam_85_resnet18.csv,0.05
GuidedGradCam_85_v3_inception.csv,0.095
GuidedGradCam_85_v3_large.csv,0.1
GuidedGradCam_85_v3_small.csv,0.09
GuidedGradCam_90_resnet18.csv,0.04
GuidedGradCam_90_v3_inception.csv,0.075
GuidedGradCam_90_v3_large.csv,0.08
GuidedGradCam_90_v3_small.csv,0.09
GuidedGradCam_95_resnet18.csv,0.005
GuidedGradCam_95_v3_inception.csv,0.01
GuidedGradCam_95_v3_large.csv,0.01
GuidedGradCam_95_v3_small.csv,0.025
