File,Average Match
Random_100_resnet18.csv,0.0
Random_100_v3_inception.csv,0.0
Random_100_v3_large.csv,0.0
Random_100_v3_small.csv,0.0
Random_10_resnet18.csv,0.495
Random_10_v3_inception.csv,0.465
Random_10_v3_large.csv,0.45
Random_10_v3_small.csv,0.435
Random_15_resnet18.csv,0.44
Random_15_v3_inception.csv,0.425
Random_15_v3_large.csv,0.465
Random_15_v3_small.csv,0.46
Random_20_resnet18.csv,0.405
Random_20_v3_inception.csv,0.395
Random_20_v3_large.csv,0.4
Random_20_v3_small.csv,0.39
Random_25_resnet18.csv,0.37
Random_25_v3_inception.csv,0.36
Random_25_v3_large.csv,0.34
Random_25_v3_small.csv,0.39
Random_30_resnet18.csv,0.345
Random_30_v3_inception.csv,0.31
Random_30_v3_large.csv,0.305
Random_30_v3_small.csv,0.32
Random_35_resnet18.csv,0.29
Random_35_v3_inception.csv,0.28
Random_35_v3_large.csv,0.26
Random_35_v3_small.csv,0.25
Random_40_resnet18.csv,0.275
Random_40_v3_inception.csv,0.24
Random_40_v3_large.csv,0.25
Random_40_v3_small.csv,0.24
Random_45_resnet18.csv,0.195
Random_45_v3_inception.csv,0.18
Random_45_v3_large.csv,0.185
Random_45_v3_small.csv,0.16
Random_50_resnet18.csv,0.135
Random_50_v3_inception.csv,0.17
Random_50_v3_large.csv,0.125
Random_50_v3_small.csv,0.13
Random_55_resnet18.csv,0.085
Random_55_v3_inception.csv,0.1
Random_55_v3_large.csv,0.12
Random_55_v3_small.csv,0.12
Random_5_resnet18.csv,0.475
Random_5_v3_inception.csv,0.47
Random_5_v3_large.csv,0.47
Random_5_v3_small.csv,0.45
Random_60_resnet18.csv,0.065
Random_60_v3_inception.csv,0.065
Random_60_v3_large.csv,0.06
Random_60_v3_small.csv,0.06
Random_65_resnet18.csv,0.025
Random_65_v3_inception.csv,0.045
Random_65_v3_large.csv,0.035
Random_65_v3_small.csv,0.03
Random_70_resnet18.csv,0.035
Random_70_v3_inception.csv,0.03
Random_70_v3_large.csv,0.03
Random_70_v3_small.csv,0.035
Random_75_resnet18.csv,0.02
Random_75_v3_inception.csv,0.01
Random_75_v3_large.csv,0.01
Random_75_v3_small.csv,0.0
Random_80_resnet18.csv,0.0
Random_80_v3_inception.csv,0.01
Random_80_v3_large.csv,0.005
Random_80_v3_small.csv,0.01
Random_85_resnet18.csv,0.0
Random_85_v3_inception.csv,0.01
Random_85_v3_large.csv,0.005
Random_85_v3_small.csv,0.0
Random_90_resnet18.csv,0.005
Random_90_v3_inception.csv,0.005
Random_90_v3_large.csv,0.0
Random_90_v3_small.csv,0.0
Random_95_resnet18.csv,0.0
Random_95_v3_inception.csv,0.0
Random_95_v3_large.csv,0.0
Random_95_v3_small.csv,0.0
