File,Average Match
GuidedGradCam_100_resnet18.csv,0.0
GuidedGradCam_100_v3_inception.csv,0.0
GuidedGradCam_100_v3_large.csv,0.0
GuidedGradCam_100_v3_small.csv,0.0
GuidedGradCam_10_resnet18.csv,0.43
GuidedGradCam_10_v3_inception.csv,0.44
GuidedGradCam_10_v3_large.csv,0.37
GuidedGradCam_10_v3_small.csv,0.37
GuidedGradCam_15_resnet18.csv,0.35
GuidedGradCam_15_v3_inception.csv,0.38
GuidedGradCam_15_v3_large.csv,0.31
GuidedGradCam_15_v3_small.csv,0.4
GuidedGradCam_20_resnet18.csv,0.32
GuidedGradCam_20_v3_inception.csv,0.32
GuidedGradCam_20_v3_large.csv,0.27
GuidedGradCam_20_v3_small.csv,0.32
GuidedGradCam_25_resnet18.csv,0.33
GuidedGradCam_25_v3_inception.csv,0.3
GuidedGradCam_25_v3_large.csv,0.25
GuidedGradCam_25_v3_small.csv,0.17
GuidedGradCam_30_resnet18.csv,0.34
GuidedGradCam_30_v3_inception.csv,0.35
GuidedGradCam_30_v3_large.csv,0.35
GuidedGradCam_30_v3_small.csv,0.33
GuidedGradCam_35_resnet18.csv,0.41
GuidedGradCam_35_v3_inception.csv,0.39
GuidedGradCam_35_v3_large.csv,0.41
GuidedGradCam_35_v3_small.csv,0.38
GuidedGradCam_40_resnet18.csv,0.34
GuidedGradCam_40_v3_inception.csv,0.35
GuidedGradCam_40_v3_large.csv,0.44
GuidedGradCam_40_v3_small.csv,0.37
GuidedGradCam_45_resnet18.csv,0.33
GuidedGradCam_45_v3_inception.csv,0.4
GuidedGradCam_45_v3_large.csv,0.4
GuidedGradCam_45_v3_small.csv,0.44
GuidedGradCam_50_resnet18.csv,0.3
GuidedGradCam_50_v3_inception.csv,0.35
GuidedGradCam_50_v3_large.csv,0.24
GuidedGradCam_50_v3_small.csv,0.24
GuidedGradCam_55_resnet18.csv,0.25
GuidedGradCam_55_v3_inception.csv,0.26
GuidedGradCam_55_v3_large.csv,0.29
GuidedGradCam_55_v3_small.csv,0.29
GuidedGradCam_5_resnet18.csv,0.38
GuidedGradCam_5_v3_inception.csv,0.35
GuidedGradCam_5_v3_large.csv,0.39
GuidedGradCam_5_v3_small.csv,0.37
GuidedGradCam_60_resnet18.csv,0.23
GuidedGradCam_60_v3_inception.csv,0.26
GuidedGradCam_60_v3_large.csv,0.28
GuidedGradCam_60_v3_small.csv,0.24
GuidedGradCam_65_resnet18.csv,0.2
GuidedGradCam_65_v3_inception.csv,0.25
GuidedGradCam_65_v3_large.csv,0.27
GuidedGradCam_65_v3_small.csv,0.3
GuidedGradCam_70_resnet18.csv,0.18
GuidedGradCam_70_v3_inception.csv,0.21
GuidedGradCam_70_v3_large.csv,0.24
GuidedGradCam_70_v3_small.csv,0.19
GuidedGradCam_75_resnet18.csv,0.12
GuidedGradCam_75_v3_inception.csv,0.09
GuidedGradCam_75_v3_large.csv,0.13
GuidedGradCam_75_v3_small.csv,0.1
GuidedGradCam_80_resnet18.csv,0.16
GuidedGradCam_80_v3_inception.csv,0.1
GuidedGradCam_80_v3_large.csv,0.14
GuidedGradCam_80_v3_small.csv,0.11
GuidedGradCam_85_resnet18.csv,0.08
GuidedGradCam_85_v3_inception.csv,0.06
GuidedGradCam_85_v3_large.csv,0.16
GuidedGradCam_85_v3_small.csv,0.12
GuidedGradCam_90_resnet18.csv,0.12
GuidedGradCam_90_v3_inception.csv,0.08
GuidedGradCam_90_v3_large.csv,0.05
GuidedGradCam_90_v3_small.csv,0.05
GuidedGradCam_95_resnet18.csv,0.03
GuidedGradCam_95_v3_inception.csv,0.04
GuidedGradCam_95_v3_large.csv,0.03
GuidedGradCam_95_v3_small.csv,0.02
