File,Average Match
GradientShap_100_resnet18.csv,0.0
GradientShap_100_v3_inception.csv,0.0
GradientShap_100_v3_large.csv,0.0
GradientShap_100_v3_small.csv,0.0
GradientShap_10_resnet18.csv,0.92
GradientShap_10_v3_inception.csv,0.935
GradientShap_10_v3_large.csv,0.955
GradientShap_10_v3_small.csv,0.95
GradientShap_15_resnet18.csv,0.935
GradientShap_15_v3_inception.csv,0.925
GradientShap_15_v3_large.csv,0.935
GradientShap_15_v3_small.csv,0.95
GradientShap_20_resnet18.csv,0.925
GradientShap_20_v3_inception.csv,0.92
GradientShap_20_v3_large.csv,0.94
GradientShap_20_v3_small.csv,0.935
GradientShap_25_resnet18.csv,0.935
GradientShap_25_v3_inception.csv,0.9
GradientShap_25_v3_large.csv,0.94
GradientShap_25_v3_small.csv,0.93
GradientShap_30_resnet18.csv,0.925
GradientShap_30_v3_inception.csv,0.955
GradientShap_30_v3_large.csv,0.91
GradientShap_30_v3_small.csv,0.915
GradientShap_35_resnet18.csv,0.905
GradientShap_35_v3_inception.csv,0.915
GradientShap_35_v3_large.csv,0.935
GradientShap_35_v3_small.csv,0.905
GradientShap_40_resnet18.csv,0.885
GradientShap_40_v3_inception.csv,0.895
GradientShap_40_v3_large.csv,0.88
GradientShap_40_v3_small.csv,0.885
GradientShap_45_resnet18.csv,0.865
GradientShap_45_v3_inception.csv,0.88
GradientShap_45_v3_large.csv,0.86
GradientShap_45_v3_small.csv,0.845
GradientShap_50_resnet18.csv,0.8
GradientShap_50_v3_inception.csv,0.895
GradientShap_50_v3_large.csv,0.855
GradientShap_50_v3_small.csv,0.82
GradientShap_55_resnet18.csv,0.78
GradientShap_55_v3_inception.csv,0.855
GradientShap_55_v3_large.csv,0.83
GradientShap_55_v3_small.csv,0.77
GradientShap_5_resnet18.csv,0.94
GradientShap_5_v3_inception.csv,0.945
GradientShap_5_v3_large.csv,0.96
GradientShap_5_v3_small.csv,0.965
GradientShap_60_resnet18.csv,0.74
GradientShap_60_v3_inception.csv,0.84
GradientShap_60_v3_large.csv,0.78
GradientShap_60_v3_small.csv,0.735
GradientShap_65_resnet18.csv,0.725
GradientShap_65_v3_inception.csv,0.785
GradientShap_65_v3_large.csv,0.79
GradientShap_65_v3_small.csv,0.705
GradientShap_70_resnet18.csv,0.7
GradientShap_70_v3_inception.csv,0.74
GradientShap_70_v3_large.csv,0.75
GradientShap_70_v3_small.csv,0.655
GradientShap_75_resnet18.csv,0.64
GradientShap_75_v3_inception.csv,0.67
GradientShap_75_v3_large.csv,0.7
GradientShap_75_v3_small.csv,0.65
GradientShap_80_resnet18.csv,0.56
GradientShap_80_v3_inception.csv,0.61
GradientShap_80_v3_large.csv,0.64
GradientShap_80_v3_small.csv,0.58
GradientShap_85_resnet18.csv,0.535
GradientShap_85_v3_inception.csv,0.565
GradientShap_85_v3_large.csv,0.63
GradientShap_85_v3_small.csv,0.595
GradientShap_90_resnet18.csv,0.55
GradientShap_90_v3_inception.csv,0.585
GradientShap_90_v3_large.csv,0.685
GradientShap_90_v3_small.csv,0.645
GradientShap_95_resnet18.csv,0.635
GradientShap_95_v3_inception.csv,0.55
GradientShap_95_v3_large.csv,0.74
GradientShap_95_v3_small.csv,0.71
