File,Average Match
GuidedGradCam_100_resnet18.csv,0.0
GuidedGradCam_100_v3_inception.csv,0.0
GuidedGradCam_100_v3_large.csv,0.0
GuidedGradCam_100_v3_small.csv,0.0
GuidedGradCam_10_resnet18.csv,0.905
GuidedGradCam_10_v3_inception.csv,0.895
GuidedGradCam_10_v3_large.csv,0.92
GuidedGradCam_10_v3_small.csv,0.91
GuidedGradCam_15_resnet18.csv,0.91
GuidedGradCam_15_v3_inception.csv,0.885
GuidedGradCam_15_v3_large.csv,0.91
GuidedGradCam_15_v3_small.csv,0.915
GuidedGradCam_20_resnet18.csv,0.9
GuidedGradCam_20_v3_inception.csv,0.895
GuidedGradCam_20_v3_large.csv,0.93
GuidedGradCam_20_v3_small.csv,0.905
GuidedGradCam_25_resnet18.csv,0.905
GuidedGradCam_25_v3_inception.csv,0.885
GuidedGradCam_25_v3_large.csv,0.915
GuidedGradCam_25_v3_small.csv,0.89
GuidedGradCam_30_resnet18.csv,0.875
GuidedGradCam_30_v3_inception.csv,0.885
GuidedGradCam_30_v3_large.csv,0.92
GuidedGradCam_30_v3_small.csv,0.87
GuidedGradCam_35_resnet18.csv,0.89
GuidedGradCam_35_v3_inception.csv,0.86
GuidedGradCam_35_v3_large.csv,0.9
GuidedGradCam_35_v3_small.csv,0.835
GuidedGradCam_40_resnet18.csv,0.875
GuidedGradCam_40_v3_inception.csv,0.88
GuidedGradCam_40_v3_large.csv,0.875
GuidedGradCam_40_v3_small.csv,0.83
GuidedGradCam_45_resnet18.csv,0.89
GuidedGradCam_45_v3_inception.csv,0.85
GuidedGradCam_45_v3_large.csv,0.89
GuidedGradCam_45_v3_small.csv,0.81
GuidedGradCam_50_resnet18.csv,0.905
GuidedGradCam_50_v3_inception.csv,0.81
GuidedGradCam_50_v3_large.csv,0.85
GuidedGradCam_50_v3_small.csv,0.71
GuidedGradCam_55_resnet18.csv,0.89
GuidedGradCam_55_v3_inception.csv,0.835
GuidedGradCam_55_v3_large.csv,0.815
GuidedGradCam_55_v3_small.csv,0.66
GuidedGradCam_5_resnet18.csv,0.935
GuidedGradCam_5_v3_inception.csv,0.9
GuidedGradCam_5_v3_large.csv,0.91
GuidedGradCam_5_v3_small.csv,0.925
GuidedGradCam_60_resnet18.csv,0.885
GuidedGradCam_60_v3_inception.csv,0.82
GuidedGradCam_60_v3_large.csv,0.79
GuidedGradCam_60_v3_small.csv,0.59
GuidedGradCam_65_resnet18.csv,0.88
GuidedGradCam_65_v3_inception.csv,0.78
GuidedGradCam_65_v3_large.csv,0.765
GuidedGradCam_65_v3_small.csv,0.575
GuidedGradCam_70_resnet18.csv,0.86
GuidedGradCam_70_v3_inception.csv,0.675
GuidedGradCam_70_v3_large.csv,0.78
GuidedGradCam_70_v3_small.csv,0.555
GuidedGradCam_75_resnet18.csv,0.86
GuidedGradCam_75_v3_inception.csv,0.625
GuidedGradCam_75_v3_large.csv,0.755
GuidedGradCam_75_v3_small.csv,0.515
GuidedGradCam_80_resnet18.csv,0.87
GuidedGradCam_80_v3_inception.csv,0.585
GuidedGradCam_80_v3_large.csv,0.72
GuidedGradCam_80_v3_small.csv,0.485
GuidedGradCam_85_resnet18.csv,0.87
GuidedGradCam_85_v3_inception.csv,0.44
GuidedGradCam_85_v3_large.csv,0.69
GuidedGradCam_85_v3_small.csv,0.4
GuidedGradCam_90_resnet18.csv,0.8
GuidedGradCam_90_v3_inception.csv,0.35
GuidedGradCam_90_v3_large.csv,0.69
GuidedGradCam_90_v3_small.csv,0.385
GuidedGradCam_95_resnet18.csv,0.75
GuidedGradCam_95_v3_inception.csv,0.285
GuidedGradCam_95_v3_large.csv,0.62
GuidedGradCam_95_v3_small.csv,0.36
