File,Average Match
InputXGradient_100_resnet18.csv,0.0
InputXGradient_100_v3_inception.csv,0.0
InputXGradient_100_v3_large.csv,0.0
InputXGradient_100_v3_small.csv,0.0
InputXGradient_10_resnet18.csv,0.96
InputXGradient_10_v3_inception.csv,0.935
InputXGradient_10_v3_large.csv,0.935
InputXGradient_10_v3_small.csv,0.95
InputXGradient_15_resnet18.csv,0.95
InputXGradient_15_v3_inception.csv,0.915
InputXGradient_15_v3_large.csv,0.925
InputXGradient_15_v3_small.csv,0.94
InputXGradient_20_resnet18.csv,0.93
InputXGradient_20_v3_inception.csv,0.915
InputXGradient_20_v3_large.csv,0.925
InputXGradient_20_v3_small.csv,0.94
InputXGradient_25_resnet18.csv,0.94
InputXGradient_25_v3_inception.csv,0.935
InputXGradient_25_v3_large.csv,0.935
InputXGradient_25_v3_small.csv,0.935
InputXGradient_30_resnet18.csv,0.91
InputXGradient_30_v3_inception.csv,0.93
InputXGradient_30_v3_large.csv,0.91
InputXGradient_30_v3_small.csv,0.925
InputXGradient_35_resnet18.csv,0.91
InputXGradient_35_v3_inception.csv,0.915
InputXGradient_35_v3_large.csv,0.915
InputXGradient_35_v3_small.csv,0.9
InputXGradient_40_resnet18.csv,0.89
InputXGradient_40_v3_inception.csv,0.865
InputXGradient_40_v3_large.csv,0.89
InputXGradient_40_v3_small.csv,0.875
InputXGradient_45_resnet18.csv,0.85
InputXGradient_45_v3_inception.csv,0.87
InputXGradient_45_v3_large.csv,0.865
InputXGradient_45_v3_small.csv,0.855
InputXGradient_50_resnet18.csv,0.78
InputXGradient_50_v3_inception.csv,0.835
InputXGradient_50_v3_large.csv,0.83
InputXGradient_50_v3_small.csv,0.825
InputXGradient_55_resnet18.csv,0.745
InputXGradient_55_v3_inception.csv,0.825
InputXGradient_55_v3_large.csv,0.795
InputXGradient_55_v3_small.csv,0.78
InputXGradient_5_resnet18.csv,0.94
InputXGradient_5_v3_inception.csv,0.945
InputXGradient_5_v3_large.csv,0.955
InputXGradient_5_v3_small.csv,0.965
InputXGradient_60_resnet18.csv,0.72
InputXGradient_60_v3_inception.csv,0.81
InputXGradient_60_v3_large.csv,0.75
InputXGradient_60_v3_small.csv,0.695
InputXGradient_65_resnet18.csv,0.665
InputXGradient_65_v3_inception.csv,0.775
InputXGradient_65_v3_large.csv,0.705
InputXGradient_65_v3_small.csv,0.605
InputXGradient_70_resnet18.csv,0.62
InputXGradient_70_v3_inception.csv,0.685
InputXGradient_70_v3_large.csv,0.71
InputXGradient_70_v3_small.csv,0.58
InputXGradient_75_resnet18.csv,0.54
InputXGradient_75_v3_inception.csv,0.62
InputXGradient_75_v3_large.csv,0.66
InputXGradient_75_v3_small.csv,0.55
InputXGradient_80_resnet18.csv,0.51
InputXGradient_80_v3_inception.csv,0.575
InputXGradient_80_v3_large.csv,0.595
InputXGradient_80_v3_small.csv,0.495
InputXGradient_85_resnet18.csv,0.495
InputXGradient_85_v3_inception.csv,0.515
InputXGradient_85_v3_large.csv,0.585
InputXGradient_85_v3_small.csv,0.485
InputXGradient_90_resnet18.csv,0.52
InputXGradient_90_v3_inception.csv,0.495
InputXGradient_90_v3_large.csv,0.61
InputXGradient_90_v3_small.csv,0.565
InputXGradient_95_resnet18.csv,0.64
InputXGradient_95_v3_inception.csv,0.605
InputXGradient_95_v3_large.csv,0.67
InputXGradient_95_v3_small.csv,0.63
