File,Average Match,Removed_Percentage
resnet18,0.9525,0
resnet18,0.94,5
resnet18,0.94,10
resnet18,0.95,15
resnet18,0.9425,20
resnet18,0.93,25
resnet18,0.885,30
resnet18,0.855,35
resnet18,0.845,40
resnet18,0.8,45
resnet18,0.775,50
resnet18,0.6625,55
resnet18,0.5725,60
resnet18,0.545,65
resnet18,0.305,70
resnet18,0.24,75
resnet18,0.09,80
resnet18,0.05,85
resnet18,0.03,90
resnet18,0.0,95
resnet18,0.0,100
inception,0.9525,0
inception,0.945,5
inception,0.95,10
inception,0.95,15
inception,0.925,20
inception,0.9266666666666666,25
inception,0.915,30
inception,0.885,35
inception,0.87,40
inception,0.8075,45
inception,0.775,50
inception,0.6625,55
inception,0.5425,60
inception,0.47,65
inception,0.305,70
inception,0.24333333333333335,75
inception,0.0925,80
inception,0.055,85
inception,0.045,90
inception,0.0,95
inception,0.0,100
large,0.945,0
large,0.9475,5
large,0.9525,10
large,0.955,15
large,0.9425,20
large,0.935,25
large,0.9025,30
large,0.875,35
large,0.865,40
large,0.8,45
large,0.755,50
large,0.645,55
large,0.55,60
large,0.475,65
large,0.3025,70
large,0.24,75
large,0.09,80
large,0.055,85
large,0.045,90
large,0.0,95
large,0.0,100
small,0.9575,0
small,0.9425,5
small,0.9525,10
small,0.965,15
small,0.9325,20
small,0.9183333333333333,25
small,0.885,30
small,0.87,35
small,0.86,40
small,0.815,45
small,0.79,50
small,0.68,55
small,0.585,60
small,0.55,65
small,0.31,70
small,0.25,75
small,0.1025,80
small,0.06,85
small,0.045,90
small,0.0,95
small,0.0,100
