File,Average Match
Random_100_resnet18.csv,0.0
Random_100_v3_inception.csv,0.0
Random_100_v3_large.csv,0.0
Random_100_v3_small.csv,0.0
Random_10_resnet18.csv,0.95
Random_10_v3_inception.csv,0.94
Random_10_v3_large.csv,0.945
Random_10_v3_small.csv,0.945
Random_15_resnet18.csv,0.93
Random_15_v3_inception.csv,0.95
Random_15_v3_large.csv,0.95
Random_15_v3_small.csv,0.94
Random_20_resnet18.csv,0.95
Random_20_v3_inception.csv,0.95
Random_20_v3_large.csv,0.955
Random_20_v3_small.csv,0.965
Random_25_resnet18.csv,0.945
Random_25_v3_inception.csv,0.935
Random_25_v3_large.csv,0.945
Random_25_v3_small.csv,0.945
Random_30_resnet18.csv,0.94
Random_30_v3_inception.csv,0.915
Random_30_v3_large.csv,0.94
Random_30_v3_small.csv,0.92
Random_35_resnet18.csv,0.905
Random_35_v3_inception.csv,0.93
Random_35_v3_large.csv,0.92
Random_35_v3_small.csv,0.89
Random_40_resnet18.csv,0.865
Random_40_v3_inception.csv,0.9
Random_40_v3_large.csv,0.885
Random_40_v3_small.csv,0.88
Random_45_resnet18.csv,0.845
Random_45_v3_inception.csv,0.87
Random_45_v3_large.csv,0.865
Random_45_v3_small.csv,0.86
Random_50_resnet18.csv,0.825
Random_50_v3_inception.csv,0.855
Random_50_v3_large.csv,0.83
Random_50_v3_small.csv,0.835
Random_55_resnet18.csv,0.775
Random_55_v3_inception.csv,0.76
Random_55_v3_large.csv,0.77
Random_55_v3_small.csv,0.795
Random_5_resnet18.csv,0.955
Random_5_v3_inception.csv,0.965
Random_5_v3_large.csv,0.945
Random_5_v3_small.csv,0.97
Random_60_resnet18.csv,0.725
Random_60_v3_inception.csv,0.71
Random_60_v3_large.csv,0.665
Random_60_v3_small.csv,0.74
Random_65_resnet18.csv,0.6
Random_65_v3_inception.csv,0.615
Random_65_v3_large.csv,0.625
Random_65_v3_small.csv,0.62
Random_70_resnet18.csv,0.545
Random_70_v3_inception.csv,0.47
Random_70_v3_large.csv,0.475
Random_70_v3_small.csv,0.55
Random_75_resnet18.csv,0.39
Random_75_v3_inception.csv,0.385
Random_75_v3_large.csv,0.36
Random_75_v3_small.csv,0.365
Random_80_resnet18.csv,0.22
Random_80_v3_inception.csv,0.225
Random_80_v3_large.csv,0.245
Random_80_v3_small.csv,0.255
Random_85_resnet18.csv,0.11
Random_85_v3_inception.csv,0.12
Random_85_v3_large.csv,0.115
Random_85_v3_small.csv,0.13
Random_90_resnet18.csv,0.07
Random_90_v3_inception.csv,0.065
Random_90_v3_large.csv,0.065
Random_90_v3_small.csv,0.075
Random_95_resnet18.csv,0.03
Random_95_v3_inception.csv,0.045
Random_95_v3_large.csv,0.045
Random_95_v3_small.csv,0.045
