File,Average Match,Removed_Percentage
resnet18,0.9475,0
resnet18,0.9525,5
resnet18,0.9675,10
resnet18,0.975,15
resnet18,0.975,20
resnet18,0.9716666666666667,25
resnet18,0.9525,30
resnet18,0.945,35
resnet18,0.95,40
resnet18,0.9025,45
resnet18,0.8933333333333333,50
resnet18,0.845,55
resnet18,0.79,60
resnet18,0.765,65
resnet18,0.6475,70
resnet18,0.5983333333333334,75
resnet18,0.4725,80
resnet18,0.46,85
resnet18,0.475,90
resnet18,0.0,95
resnet18,0.0,100
inception,0.94,0
inception,0.94,5
inception,0.945,10
inception,0.945,15
inception,0.9625,20
inception,0.9633333333333334,25
inception,0.9575,30
inception,0.9475,35
inception,0.945,40
inception,0.9375,45
inception,0.9316666666666666,50
inception,0.8825,55
inception,0.8325,60
inception,0.82,65
inception,0.7325,70
inception,0.685,75
inception,0.535,80
inception,0.445,85
inception,0.41,90
inception,0.0,95
inception,0.0,100
large,0.95,0
large,0.9475,5
large,0.965,10
large,0.98,15
large,0.9525,20
large,0.955,25
large,0.9475,30
large,0.9225,35
large,0.91,40
large,0.925,45
large,0.9066666666666666,50
large,0.855,55
large,0.8,60
large,0.76,65
large,0.64,70
large,0.6083333333333333,75
large,0.53,80
large,0.55,85
large,0.585,90
large,0.0,95
large,0.0,100
small,0.955,0
small,0.9575,5
small,0.96,10
small,0.965,15
small,0.96,20
small,0.955,25
small,0.9325,30
small,0.9125,35
small,0.905,40
small,0.8475,45
small,0.8266666666666667,50
small,0.75,55
small,0.6725,60
small,0.63,65
small,0.515,70
small,0.4816666666666667,75
small,0.4025,80
small,0.42,85
small,0.45,90
small,0.0,95
small,0.0,100
