File,Average Match
Saliency_100_resnet18.csv,0.0
Saliency_100_v3_inception.csv,0.0
Saliency_100_v3_large.csv,0.0
Saliency_100_v3_small.csv,0.0
Saliency_10_resnet18.csv,0.945
Saliency_10_v3_inception.csv,0.935
Saliency_10_v3_large.csv,0.945
Saliency_10_v3_small.csv,0.96
Saliency_15_resnet18.csv,0.96
Saliency_15_v3_inception.csv,0.945
Saliency_15_v3_large.csv,0.95
Saliency_15_v3_small.csv,0.955
Saliency_20_resnet18.csv,0.975
Saliency_20_v3_inception.csv,0.945
Saliency_20_v3_large.csv,0.98
Saliency_20_v3_small.csv,0.965
Saliency_25_resnet18.csv,0.975
Saliency_25_v3_inception.csv,0.965
Saliency_25_v3_large.csv,0.955
Saliency_25_v3_small.csv,0.955
Saliency_30_resnet18.csv,0.975
Saliency_30_v3_inception.csv,0.96
Saliency_30_v3_large.csv,0.95
Saliency_30_v3_small.csv,0.965
Saliency_35_resnet18.csv,0.965
Saliency_35_v3_inception.csv,0.965
Saliency_35_v3_large.csv,0.96
Saliency_35_v3_small.csv,0.945
Saliency_40_resnet18.csv,0.94
Saliency_40_v3_inception.csv,0.95
Saliency_40_v3_large.csv,0.935
Saliency_40_v3_small.csv,0.92
Saliency_45_resnet18.csv,0.95
Saliency_45_v3_inception.csv,0.945
Saliency_45_v3_large.csv,0.91
Saliency_45_v3_small.csv,0.905
Saliency_50_resnet18.csv,0.925
Saliency_50_v3_inception.csv,0.945
Saliency_50_v3_large.csv,0.935
Saliency_50_v3_small.csv,0.87
Saliency_55_resnet18.csv,0.88
Saliency_55_v3_inception.csv,0.93
Saliency_55_v3_large.csv,0.915
Saliency_55_v3_small.csv,0.825
Saliency_5_resnet18.csv,0.95
Saliency_5_v3_inception.csv,0.945
Saliency_5_v3_large.csv,0.955
Saliency_5_v3_small.csv,0.95
Saliency_60_resnet18.csv,0.875
Saliency_60_v3_inception.csv,0.92
Saliency_60_v3_large.csv,0.87
Saliency_60_v3_small.csv,0.785
Saliency_65_resnet18.csv,0.815
Saliency_65_v3_inception.csv,0.845
Saliency_65_v3_large.csv,0.84
Saliency_65_v3_small.csv,0.715
Saliency_70_resnet18.csv,0.765
Saliency_70_v3_inception.csv,0.82
Saliency_70_v3_large.csv,0.76
Saliency_70_v3_small.csv,0.63
Saliency_75_resnet18.csv,0.685
Saliency_75_v3_inception.csv,0.785
Saliency_75_v3_large.csv,0.69
Saliency_75_v3_small.csv,0.57
Saliency_80_resnet18.csv,0.61
Saliency_80_v3_inception.csv,0.68
Saliency_80_v3_large.csv,0.59
Saliency_80_v3_small.csv,0.46
Saliency_85_resnet18.csv,0.5
Saliency_85_v3_inception.csv,0.59
Saliency_85_v3_large.csv,0.545
Saliency_85_v3_small.csv,0.415
Saliency_90_resnet18.csv,0.445
Saliency_90_v3_inception.csv,0.48
Saliency_90_v3_large.csv,0.515
Saliency_90_v3_small.csv,0.39
Saliency_95_resnet18.csv,0.475
Saliency_95_v3_inception.csv,0.41
Saliency_95_v3_large.csv,0.585
Saliency_95_v3_small.csv,0.45
