Image,Real,Name,Class_1,Probability_1,Class_2,Probability_2,Class_3,Probability_3,Class_4,Probability_4,Class_5,Probability_5,Id,Match
1,,tench,loggerhead,0.24222944676876068,isopod,0.18081502616405487,goldfish,0.11514179408550262,conch,0.07556989043951035,leatherback turtle,0.0544150248169899,0.0,False
2,,goldfish,goldfish,0.48193594813346863,handkerchief,0.07540471851825714,pillow,0.04353374242782593,plastic bag,0.03799266368150711,shower curtain,0.0284710843116045,1.0,True
3,,great white shark,great white shark,0.9139686226844788,handkerchief,0.02055351249873638,tiger shark,0.004460480529814959,shower curtain,0.004196289926767349,hammerhead,0.0037298486568033695,2.0,True
4,,tiger shark,stole,0.07496141642332077,dishrag,0.044303156435489655,quilt,0.02201993763446808,jean,0.021731603890657425,ski,0.02003040350973606,3.0,False
5,,hammerhead,handkerchief,0.43481701612472534,starfish,0.041802264750003815,prayer rug,0.03865471109747887,pillow,0.03723685070872307,shower curtain,0.03688015043735504,4.0,False
6,,electric ray,electric ray,0.7230997681617737,stingray,0.1785031408071518,mitten,0.023704642429947853,bib,0.012507730163633823,brain coral,0.006364461034536362,5.0,True
7,,stingray,electric ray,0.3894253373146057,stingray,0.16688036918640137,loggerhead,0.05507821589708328,sea cucumber,0.032846029847860336,leatherback turtle,0.029618950560688972,6.0,True
8,,cock,jigsaw puzzle,0.38246187567710876,handkerchief,0.1896914690732956,shower curtain,0.05087389051914215,Christmas stocking,0.04046716168522835,apron,0.030412491410970688,7.0,False
9,,hen,volcano,0.15773750841617584,fountain,0.08679600805044174,handkerchief,0.08029964566230774,poncho,0.026583008468151093,prayer rug,0.026034297421574593,8.0,False
10,,ostrich,American alligator,0.21506114304065704,African crocodile,0.1371208280324936,lakeside,0.06697173416614532,sandbar,0.053541071712970734,redshank,0.04873264208436012,9.0,False
11,,brambling,ptarmigan,0.24636858701705933,cheetah,0.0505029521882534,dowitcher,0.035131216049194336,red-backed sandpiper,0.03248262405395508,handkerchief,0.027549415826797485,10.0,False
12,,goldfinch,handkerchief,0.25198930501937866,shower curtain,0.07516846060752869,apron,0.06518389284610748,poncho,0.03668174892663956,shovel,0.0322054959833622,11.0,False
13,,house finch,handkerchief,0.1942215859889984,envelope,0.03800172358751297,leatherback turtle,0.026786938309669495,ptarmigan,0.024340083822607994,chain,0.021090153604745865,12.0,False
14,,junco,fountain,0.2131885141134262,spider web,0.1981051117181778,geyser,0.09263746440410614,shower curtain,0.08157999068498611,handkerchief,0.027020424604415894,13.0,False
15,,indigo bunting,stole,0.1531176120042801,cardigan,0.12936632335186005,poncho,0.11242923885583878,dishrag,0.040941689163446426,maze,0.03746219351887703,14.0,False
16,,robin,fountain,0.11169422417879105,robin,0.09047824144363403,spider web,0.08185330778360367,handkerchief,0.04780249670147896,honeycomb,0.03622908517718315,15.0,True
17,,bulbul,spider web,0.3897395730018616,maze,0.03745219483971596,brain coral,0.03656100109219551,handkerchief,0.033991772681474686,stone wall,0.027054060250520706,16.0,False
18,,jay,fountain,0.28618839383125305,handkerchief,0.20213501155376434,great white shark,0.10521608591079712,geyser,0.02064005844295025,bustard,0.01552638877183199,17.0,False
19,,magpie,handkerchief,0.3084912896156311,brass,0.1142524927854538,American alligator,0.058380622416734695,menu,0.03310056030750275,envelope,0.031169414520263672,18.0,False
20,,chickadee,leatherback turtle,0.4219646453857422,handkerchief,0.0847296491265297,shovel,0.07673675566911697,loggerhead,0.037484630942344666,American alligator,0.026137065142393112,19.0,False
21,,water ouzel,handkerchief,0.12252523750066757,leatherback turtle,0.11679398268461227,volcano,0.04537774622440338,spider web,0.03866029530763626,geyser,0.03193933889269829,20.0,False
22,,kite,starfish,0.29597389698028564,handkerchief,0.11146064847707748,sea urchin,0.048081204295158386,ant,0.0404546819627285,coral reef,0.029837733134627342,21.0,False
23,,bald eagle,American alligator,0.08255787938833237,envelope,0.08179827034473419,jigsaw puzzle,0.07480940222740173,binder,0.05055058375000954,menu,0.04202095791697502,22.0,False
24,,vulture,handkerchief,0.46177807450294495,envelope,0.0865984633564949,prayer rug,0.0734090656042099,jigsaw puzzle,0.03873100504279137,crossword puzzle,0.017593184486031532,23.0,False
25,,great grey owl,shower curtain,0.30037322640419006,handkerchief,0.16173414885997772,manhole cover,0.08479998260736465,doormat,0.07012434303760529,chiton,0.02803187444806099,24.0,False
26,,European fire salamander,European fire salamander,0.30443495512008667,starfish,0.0511411614716053,flatworm,0.050303246825933456,honeycomb,0.04698115214705467,sea slug,0.03906077891588211,25.0,True
27,,common newt,starfish,0.4990159571170807,apron,0.11573045700788498,handkerchief,0.04484235867857933,agama,0.03743649646639824,bib,0.02443014085292816,26.0,False
28,,eft,starfish,0.37581947445869446,shower curtain,0.09068650007247925,jigsaw puzzle,0.05625608190894127,ant,0.052284132689237595,honeycomb,0.05046967417001724,27.0,False
29,,spotted salamander,European fire salamander,0.7569472193717957,African crocodile,0.06736894696950912,common newt,0.04808799922466278,American alligator,0.04776805266737938,Gila monster,0.030118370428681374,28.0,False
30,,axolotl,eel,0.08270686864852905,diamondback,0.06582097709178925,sea cucumber,0.06122663989663124,common newt,0.05268152430653572,flatworm,0.04631095379590988,29.0,False
31,,bullfrog,starfish,0.2181733399629593,coral reef,0.20371998846530914,brain coral,0.06197405979037285,stingray,0.05891270190477371,loggerhead,0.039075277745723724,30.0,False
32,,tree frog,honeycomb,0.19433091580867767,fountain,0.10504583269357681,starfish,0.10413402318954468,shovel,0.04696354269981384,flatworm,0.041869789361953735,31.0,False
33,,tailed frog,leatherback turtle,0.7249716520309448,loggerhead,0.03663598373532295,sea cucumber,0.021558871492743492,starfish,0.01958700641989708,handkerchief,0.010836043395102024,32.0,False
34,,loggerhead,great white shark,0.14722968637943268,coho,0.05025513470172882,leatherback turtle,0.04931896552443504,stingray,0.04476148635149002,volcano,0.042262058705091476,33.0,False
35,,leatherback turtle,leatherback turtle,0.6412726640701294,sea cucumber,0.07312986254692078,starfish,0.07215920835733414,loggerhead,0.06828359514474869,stingray,0.017185356467962265,34.0,True
36,,mud turtle,starfish,0.14984625577926636,coral reef,0.14002323150634766,flatworm,0.0866578072309494,volcano,0.08566789329051971,stingray,0.06519278138875961,35.0,False
37,,terrapin,honeycomb,0.3188694417476654,stole,0.2382173389196396,poncho,0.10374907404184341,handkerchief,0.09058549255132675,terrapin,0.03972625359892845,36.0,True
38,,box turtle,handkerchief,0.09449436515569687,chainlink fence,0.06823396682739258,maze,0.03295484185218811,spider web,0.029254388064146042,tennis ball,0.02895662747323513,37.0,False
39,,banded gecko,leatherback turtle,0.4318622052669525,banded gecko,0.11698701232671738,African crocodile,0.08584645390510559,loggerhead,0.05928974971175194,sidewinder,0.0412864051759243,38.0,True
40,,common iguana,megalith,0.06797352433204651,fountain,0.0575881190598011,stole,0.05755380541086197,shovel,0.0558428056538105,shower curtain,0.04779074341058731,39.0,False
41,,American chameleon,handkerchief,0.09755097329616547,stole,0.06938681751489639,velvet,0.06841150671243668,honeycomb,0.06482432037591934,apron,0.06073375046253204,40.0,False
42,,whiptail,shower curtain,0.2921222150325775,bubble,0.05357052758336067,spider web,0.02057189680635929,water bottle,0.01968351937830448,leatherback turtle,0.015628840774297714,41.0,False
43,,agama,starfish,0.20302079617977142,agama,0.16627582907676697,handkerchief,0.09582590311765671,apron,0.04518934711813927,pillow,0.04111615940928459,42.0,True
44,,frilled lizard,starfish,0.06834482401609421,maze,0.04800823703408241,fountain,0.044604282826185226,geyser,0.031021686270833015,sea cucumber,0.02990293689072132,43.0,False
45,,alligator lizard,starfish,0.11064628511667252,handkerchief,0.09890985488891602,leatherback turtle,0.07098136097192764,spider web,0.052226219326257706,shower curtain,0.030664941295981407,44.0,False
46,,Gila monster,handkerchief,0.09808307141065598,shower curtain,0.08700566738843918,leatherback turtle,0.04351631924510002,American alligator,0.03265775740146637,jigsaw puzzle,0.032633379101753235,45.0,False
47,,green lizard,tailed frog,0.11815120279788971,tree frog,0.10076415538787842,terrapin,0.04470188543200493,ant,0.04412136599421501,horned viper,0.03479532524943352,46.0,False
48,,African chameleon,handkerchief,0.18971289694309235,dishrag,0.09635357558727264,brain coral,0.06584922969341278,stole,0.04974055662751198,poncho,0.04515229910612106,47.0,False
49,,Komodo dragon,African crocodile,0.45053187012672424,American alligator,0.13915373384952545,leatherback turtle,0.09311128407716751,Komodo dragon,0.07865988463163376,leopard,0.032713234424591064,48.0,True
50,,African crocodile,volcano,0.15395823121070862,leatherback turtle,0.1447436809539795,geyser,0.08372069150209427,shovel,0.035584669560194016,African crocodile,0.028822602704167366,49.0,True
51,,American alligator,mitten,0.20304037630558014,stingray,0.11330845206975937,stole,0.0718572735786438,electric ray,0.043291158974170685,poncho,0.03924207389354706,50.0,False
52,,triceratops,prayer rug,0.131145641207695,maze,0.07082587480545044,brass,0.03207968920469284,crossword puzzle,0.03102438524365425,doormat,0.02895590476691723,51.0,False
53,,thunder snake,starfish,0.22445358335971832,nematode,0.07806980609893799,handkerchief,0.07157266139984131,coil,0.04427878558635712,thunder snake,0.04155764728784561,52.0,True
54,,ringneck snake,handkerchief,0.22548778355121613,coral reef,0.1517498791217804,ant,0.07118015736341476,leatherback turtle,0.059314336627721786,starfish,0.04177219048142433,53.0,False
