Image,Real,Name,Class_1,Probability_1,Class_2,Probability_2,Class_3,Probability_3,Class_4,Probability_4,Class_5,Probability_5,Id,Match
1,,tench,handkerchief,0.31238216161727905,goldfish,0.09002583473920822,shower curtain,0.08929071575403214,jigsaw puzzle,0.05715344101190567,envelope,0.05254780128598213,0.0,False
2,,goldfish,handkerchief,0.16995835304260254,starfish,0.09815041720867157,shower curtain,0.07862486690282822,plastic bag,0.0630222037434578,goldfish,0.049676068127155304,1.0,True
3,,great white shark,great white shark,0.3565579950809479,handkerchief,0.1206800565123558,brain coral,0.053191039711236954,jellyfish,0.05201444774866104,stingray,0.05067867785692215,2.0,True
4,,tiger shark,stole,0.06480193138122559,dishrag,0.029706450179219246,jean,0.028548069298267365,shower curtain,0.026891794055700302,shovel,0.02365947514772415,3.0,False
5,,hammerhead,handkerchief,0.45075759291648865,pillow,0.09432169049978256,shower curtain,0.0591287836432457,prayer rug,0.0459221675992012,quilt,0.03806810826063156,4.0,False
6,,electric ray,electric ray,0.7274417877197266,stingray,0.14283514022827148,bib,0.020693641155958176,flatworm,0.018334947526454926,brain coral,0.017027173191308975,5.0,True
7,,stingray,leatherback turtle,0.04516514390707016,sandbar,0.04404992237687111,shower curtain,0.04035446047782898,handkerchief,0.039690952748060226,jigsaw puzzle,0.03855593502521515,6.0,False
8,,cock,handkerchief,0.37633994221687317,jigsaw puzzle,0.10966277867555618,pillow,0.05404074862599373,bonnet,0.0495707243680954,mitten,0.03489495813846588,7.0,False
9,,hen,stole,0.10047899931669235,handkerchief,0.0853584036231041,volcano,0.06620337814092636,shower curtain,0.04971417784690857,jigsaw puzzle,0.04492402449250221,8.0,False
10,,ostrich,American alligator,0.1985960602760315,lakeside,0.13584357500076294,African crocodile,0.07312800735235214,sandbar,0.044943876564502716,menu,0.029970768839120865,9.0,False
11,,brambling,manhole cover,0.06028798222541809,American alligator,0.05486886203289032,handkerchief,0.05021938681602478,starfish,0.04384668543934822,brass,0.03497886657714844,10.0,False
12,,goldfinch,handkerchief,0.13598473370075226,leatherback turtle,0.10947217792272568,shovel,0.05765858292579651,American alligator,0.03034130111336708,shower curtain,0.02588343620300293,11.0,False
13,,house finch,handkerchief,0.19001325964927673,shower curtain,0.1259935051202774,envelope,0.09801723062992096,leatherback turtle,0.06912179291248322,menu,0.022504029795527458,12.0,False
14,,junco,spider web,0.14595146477222443,shower curtain,0.1051994189620018,handkerchief,0.04904479905962944,chain,0.04152422398328781,jigsaw puzzle,0.027775198221206665,13.0,False
15,,indigo bunting,prayer rug,0.0913294106721878,maze,0.04919572174549103,stole,0.04761077091097832,chainlink fence,0.04543982818722725,poncho,0.036877233535051346,14.0,False
16,,robin,spider web,0.36204010248184204,fountain,0.10117538273334503,jigsaw puzzle,0.0804663598537445,handkerchief,0.06617678701877594,shower curtain,0.06138446927070618,15.0,False
17,,bulbul,spider web,0.5753074884414673,stingray,0.04404649883508682,handkerchief,0.03324174880981445,brain coral,0.029146423563361168,honeycomb,0.021489325910806656,16.0,False
18,,jay,handkerchief,0.20782573521137238,great white shark,0.14028143882751465,fountain,0.05013314262032509,geyser,0.033977001905441284,chain mail,0.023221878334879875,17.0,False
19,,magpie,American alligator,0.0967133492231369,leatherback turtle,0.07631897926330566,brass,0.06695745885372162,terrapin,0.06670303642749786,handkerchief,0.057651400566101074,18.0,False
20,,chickadee,handkerchief,0.3165942430496216,leatherback turtle,0.1432993859052658,fountain,0.03851120173931122,shovel,0.036333709955215454,shower curtain,0.02829279564321041,19.0,False
21,,water ouzel,handkerchief,0.17112277448177338,leatherback turtle,0.11097250133752823,volcano,0.05385061353445053,starfish,0.04791420325636864,stingray,0.03390730917453766,20.0,False
22,,kite,handkerchief,0.5649980306625366,shower curtain,0.1484677642583847,starfish,0.026173334568738937,pillow,0.020929304882884026,necklace,0.016233161091804504,21.0,False
23,,bald eagle,American alligator,0.2559296488761902,African crocodile,0.10782909393310547,binder,0.04112739861011505,menu,0.038521308451890945,Petri dish,0.03361070528626442,22.0,False
24,,vulture,handkerchief,0.4403008222579956,envelope,0.1517423391342163,jigsaw puzzle,0.06504984200000763,prayer rug,0.024388272315263748,starfish,0.020202945917844772,23.0,False
25,,great grey owl,fountain,0.3179076910018921,megalith,0.14926032721996307,shower curtain,0.10790269821882248,handkerchief,0.036877989768981934,jigsaw puzzle,0.026132997125387192,24.0,False
