File,Average Match
GradientShap_100_resnet18.csv,0.005
GradientShap_100_v3_inception.csv,0.0
GradientShap_100_v3_large.csv,0.015
GradientShap_100_v3_small.csv,0.005
GradientShap_10_resnet18.csv,0.58
GradientShap_10_v3_inception.csv,0.635
GradientShap_10_v3_large.csv,0.69
GradientShap_10_v3_small.csv,0.58
GradientShap_15_resnet18.csv,0.505
GradientShap_15_v3_inception.csv,0.58
GradientShap_15_v3_large.csv,0.615
GradientShap_15_v3_small.csv,0.49
GradientShap_20_resnet18.csv,0.46
GradientShap_20_v3_inception.csv,0.51
GradientShap_20_v3_large.csv,0.555
GradientShap_20_v3_small.csv,0.435
GradientShap_25_resnet18.csv,0.38
GradientShap_25_v3_inception.csv,0.46
GradientShap_25_v3_large.csv,0.475
GradientShap_25_v3_small.csv,0.375
GradientShap_30_resnet18.csv,0.34
GradientShap_30_v3_inception.csv,0.395
GradientShap_30_v3_large.csv,0.435
GradientShap_30_v3_small.csv,0.305
GradientShap_35_resnet18.csv,0.305
GradientShap_35_v3_inception.csv,0.375
GradientShap_35_v3_large.csv,0.38
GradientShap_35_v3_small.csv,0.26
GradientShap_40_resnet18.csv,0.28
GradientShap_40_v3_inception.csv,0.3
GradientShap_40_v3_large.csv,0.275
GradientShap_40_v3_small.csv,0.25
GradientShap_45_resnet18.csv,0.26
GradientShap_45_v3_inception.csv,0.265
GradientShap_45_v3_large.csv,0.28
GradientShap_45_v3_small.csv,0.235
GradientShap_50_resnet18.csv,0.23
GradientShap_50_v3_inception.csv,0.27
GradientShap_50_v3_large.csv,0.255
GradientShap_50_v3_small.csv,0.21
GradientShap_55_resnet18.csv,0.22
GradientShap_55_v3_inception.csv,0.225
GradientShap_55_v3_large.csv,0.23
GradientShap_55_v3_small.csv,0.195
GradientShap_5_resnet18.csv,0.72
GradientShap_5_v3_inception.csv,0.745
GradientShap_5_v3_large.csv,0.815
GradientShap_5_v3_small.csv,0.745
GradientShap_60_resnet18.csv,0.2
GradientShap_60_v3_inception.csv,0.235
GradientShap_60_v3_large.csv,0.19
GradientShap_60_v3_small.csv,0.16
GradientShap_65_resnet18.csv,0.135
GradientShap_65_v3_inception.csv,0.175
GradientShap_65_v3_large.csv,0.21
GradientShap_65_v3_small.csv,0.145
GradientShap_70_resnet18.csv,0.115
GradientShap_70_v3_inception.csv,0.125
GradientShap_70_v3_large.csv,0.16
GradientShap_70_v3_small.csv,0.09
GradientShap_75_resnet18.csv,0.09
GradientShap_75_v3_inception.csv,0.115
GradientShap_75_v3_large.csv,0.115
GradientShap_75_v3_small.csv,0.07
GradientShap_80_resnet18.csv,0.07
GradientShap_80_v3_inception.csv,0.075
GradientShap_80_v3_large.csv,0.07
GradientShap_80_v3_small.csv,0.05
GradientShap_85_resnet18.csv,0.05
GradientShap_85_v3_inception.csv,0.075
GradientShap_85_v3_large.csv,0.045
GradientShap_85_v3_small.csv,0.025
GradientShap_90_resnet18.csv,0.025
GradientShap_90_v3_inception.csv,0.03
GradientShap_90_v3_large.csv,0.015
GradientShap_90_v3_small.csv,0.01
GradientShap_95_resnet18.csv,0.02
GradientShap_95_v3_inception.csv,0.035
GradientShap_95_v3_large.csv,0.005
GradientShap_95_v3_small.csv,0.0
