File,Average Match
GuidedGradCam_100_resnet18.csv,0.005
GuidedGradCam_100_v3_inception.csv,0.0
GuidedGradCam_100_v3_large.csv,0.015
GuidedGradCam_100_v3_small.csv,0.005
GuidedGradCam_10_resnet18.csv,0.545
GuidedGradCam_10_v3_inception.csv,0.53
GuidedGradCam_10_v3_large.csv,0.6
GuidedGradCam_10_v3_small.csv,0.54
GuidedGradCam_15_resnet18.csv,0.495
GuidedGradCam_15_v3_inception.csv,0.39
GuidedGradCam_15_v3_large.csv,0.51
GuidedGradCam_15_v3_small.csv,0.445
GuidedGradCam_20_resnet18.csv,0.43
GuidedGradCam_20_v3_inception.csv,0.345
GuidedGradCam_20_v3_large.csv,0.45
GuidedGradCam_20_v3_small.csv,0.38
GuidedGradCam_25_resnet18.csv,0.4
GuidedGradCam_25_v3_inception.csv,0.295
GuidedGradCam_25_v3_large.csv,0.405
GuidedGradCam_25_v3_small.csv,0.345
GuidedGradCam_30_resnet18.csv,0.35
GuidedGradCam_30_v3_inception.csv,0.27
GuidedGradCam_30_v3_large.csv,0.365
GuidedGradCam_30_v3_small.csv,0.31
GuidedGradCam_35_resnet18.csv,0.31
GuidedGradCam_35_v3_inception.csv,0.23
GuidedGradCam_35_v3_large.csv,0.33
GuidedGradCam_35_v3_small.csv,0.28
GuidedGradCam_40_resnet18.csv,0.31
GuidedGradCam_40_v3_inception.csv,0.195
GuidedGradCam_40_v3_large.csv,0.27
GuidedGradCam_40_v3_small.csv,0.235
GuidedGradCam_45_resnet18.csv,0.295
GuidedGradCam_45_v3_inception.csv,0.18
GuidedGradCam_45_v3_large.csv,0.265
GuidedGradCam_45_v3_small.csv,0.195
GuidedGradCam_50_resnet18.csv,0.3
GuidedGradCam_50_v3_inception.csv,0.19
GuidedGradCam_50_v3_large.csv,0.245
GuidedGradCam_50_v3_small.csv,0.185
GuidedGradCam_55_resnet18.csv,0.3
GuidedGradCam_55_v3_inception.csv,0.195
GuidedGradCam_55_v3_large.csv,0.26
GuidedGradCam_55_v3_small.csv,0.145
GuidedGradCam_5_resnet18.csv,0.67
GuidedGradCam_5_v3_inception.csv,0.65
GuidedGradCam_5_v3_large.csv,0.725
GuidedGradCam_5_v3_small.csv,0.7
GuidedGradCam_60_resnet18.csv,0.275
GuidedGradCam_60_v3_inception.csv,0.17
GuidedGradCam_60_v3_large.csv,0.28
GuidedGradCam_60_v3_small.csv,0.135
GuidedGradCam_65_resnet18.csv,0.29
GuidedGradCam_65_v3_inception.csv,0.125
GuidedGradCam_65_v3_large.csv,0.245
GuidedGradCam_65_v3_small.csv,0.135
GuidedGradCam_70_resnet18.csv,0.285
GuidedGradCam_70_v3_inception.csv,0.105
GuidedGradCam_70_v3_large.csv,0.245
GuidedGradCam_70_v3_small.csv,0.105
GuidedGradCam_75_resnet18.csv,0.27
GuidedGradCam_75_v3_inception.csv,0.1
GuidedGradCam_75_v3_large.csv,0.22
GuidedGradCam_75_v3_small.csv,0.085
GuidedGradCam_80_resnet18.csv,0.27
GuidedGradCam_80_v3_inception.csv,0.08
GuidedGradCam_80_v3_large.csv,0.215
GuidedGradCam_80_v3_small.csv,0.065
GuidedGradCam_85_resnet18.csv,0.22
GuidedGradCam_85_v3_inception.csv,0.055
GuidedGradCam_85_v3_large.csv,0.2
GuidedGradCam_85_v3_small.csv,0.065
GuidedGradCam_90_resnet18.csv,0.155
GuidedGradCam_90_v3_inception.csv,0.02
GuidedGradCam_90_v3_large.csv,0.125
GuidedGradCam_90_v3_small.csv,0.04
GuidedGradCam_95_resnet18.csv,0.065
GuidedGradCam_95_v3_inception.csv,0.0
GuidedGradCam_95_v3_large.csv,0.065
GuidedGradCam_95_v3_small.csv,0.01
