File,Average Match
InputXGradient_100_resnet18.csv,0.005
InputXGradient_100_v3_inception.csv,0.0
InputXGradient_100_v3_large.csv,0.015
InputXGradient_100_v3_small.csv,0.005
InputXGradient_10_resnet18.csv,0.615
InputXGradient_10_v3_inception.csv,0.655
InputXGradient_10_v3_large.csv,0.705
InputXGradient_10_v3_small.csv,0.61
InputXGradient_15_resnet18.csv,0.51
InputXGradient_15_v3_inception.csv,0.565
InputXGradient_15_v3_large.csv,0.625
InputXGradient_15_v3_small.csv,0.52
InputXGradient_20_resnet18.csv,0.42
InputXGradient_20_v3_inception.csv,0.525
InputXGradient_20_v3_large.csv,0.525
InputXGradient_20_v3_small.csv,0.4
InputXGradient_25_resnet18.csv,0.315
InputXGradient_25_v3_inception.csv,0.4
InputXGradient_25_v3_large.csv,0.445
InputXGradient_25_v3_small.csv,0.36
InputXGradient_30_resnet18.csv,0.3
InputXGradient_30_v3_inception.csv,0.35
InputXGradient_30_v3_large.csv,0.405
InputXGradient_30_v3_small.csv,0.275
InputXGradient_35_resnet18.csv,0.26
InputXGradient_35_v3_inception.csv,0.31
InputXGradient_35_v3_large.csv,0.325
InputXGradient_35_v3_small.csv,0.26
InputXGradient_40_resnet18.csv,0.24
InputXGradient_40_v3_inception.csv,0.26
InputXGradient_40_v3_large.csv,0.26
InputXGradient_40_v3_small.csv,0.23
InputXGradient_45_resnet18.csv,0.185
InputXGradient_45_v3_inception.csv,0.21
InputXGradient_45_v3_large.csv,0.225
InputXGradient_45_v3_small.csv,0.215
InputXGradient_50_resnet18.csv,0.14
InputXGradient_50_v3_inception.csv,0.195
InputXGradient_50_v3_large.csv,0.18
InputXGradient_50_v3_small.csv,0.18
InputXGradient_55_resnet18.csv,0.135
InputXGradient_55_v3_inception.csv,0.18
InputXGradient_55_v3_large.csv,0.145
InputXGradient_55_v3_small.csv,0.155
InputXGradient_5_resnet18.csv,0.725
InputXGradient_5_v3_inception.csv,0.74
InputXGradient_5_v3_large.csv,0.84
InputXGradient_5_v3_small.csv,0.725
InputXGradient_60_resnet18.csv,0.115
InputXGradient_60_v3_inception.csv,0.15
InputXGradient_60_v3_large.csv,0.115
InputXGradient_60_v3_small.csv,0.13
InputXGradient_65_resnet18.csv,0.095
InputXGradient_65_v3_inception.csv,0.115
InputXGradient_65_v3_large.csv,0.09
InputXGradient_65_v3_small.csv,0.09
InputXGradient_70_resnet18.csv,0.05
InputXGradient_70_v3_inception.csv,0.085
InputXGradient_70_v3_large.csv,0.095
InputXGradient_70_v3_small.csv,0.08
InputXGradient_75_resnet18.csv,0.035
InputXGradient_75_v3_inception.csv,0.075
InputXGradient_75_v3_large.csv,0.075
InputXGradient_75_v3_small.csv,0.05
InputXGradient_80_resnet18.csv,0.045
InputXGradient_80_v3_inception.csv,0.045
InputXGradient_80_v3_large.csv,0.035
InputXGradient_80_v3_small.csv,0.035
InputXGradient_85_resnet18.csv,0.03
InputXGradient_85_v3_inception.csv,0.01
InputXGradient_85_v3_large.csv,0.01
InputXGradient_85_v3_small.csv,0.02
InputXGradient_90_resnet18.csv,0.02
InputXGradient_90_v3_inception.csv,0.02
InputXGradient_90_v3_large.csv,0.0
InputXGradient_90_v3_small.csv,0.005
InputXGradient_95_resnet18.csv,0.02
InputXGradient_95_v3_inception.csv,0.01
InputXGradient_95_v3_large.csv,0.0
InputXGradient_95_v3_small.csv,0.005
