File,Average Match
Random_100_resnet18.csv,0.005
Random_100_v3_inception.csv,0.0
Random_100_v3_large.csv,0.015
Random_100_v3_small.csv,0.005
Random_10_v3_inception.csv,0.83
Random_10_v3_large.csv,0.865
Random_10_v3_small.csv,0.715
Random_15_resnet18.csv,0.64
Random_15_v3_inception.csv,0.72
Random_15_v3_large.csv,0.76
Random_15_v3_small.csv,0.59
Random_20_resnet18.csv,0.52
Random_20_v3_inception.csv,0.695
Random_20_v3_large.csv,0.665
Random_20_v3_small.csv,0.505
Random_25_resnet18.csv,0.44
Random_25_v3_inception.csv,0.585
Random_25_v3_large.csv,0.565
Random_25_v3_small.csv,0.435
Random_30_resnet18.csv,0.37
Random_30_v3_inception.csv,0.51
Random_30_v3_large.csv,0.475
Random_30_v3_small.csv,0.375
Random_35_resnet18.csv,0.315
Random_35_v3_inception.csv,0.46
Random_35_v3_large.csv,0.375
Random_35_v3_small.csv,0.325
Random_40_resnet18.csv,0.235
Random_40_v3_inception.csv,0.385
Random_40_v3_large.csv,0.31
Random_40_v3_small.csv,0.275
Random_45_resnet18.csv,0.19
Random_45_v3_inception.csv,0.33
Random_45_v3_large.csv,0.25
Random_45_v3_small.csv,0.215
Random_50_resnet18.csv,0.15
Random_50_v3_inception.csv,0.3
Random_50_v3_large.csv,0.2
Random_50_v3_small.csv,0.18
Random_55_resnet18.csv,0.115
Random_55_v3_inception.csv,0.25
Random_55_v3_large.csv,0.16
Random_55_v3_small.csv,0.135
Random_5_v3_inception.csv,0.885
Random_5_v3_large.csv,0.94
Random_5_v3_small.csv,0.81
Random_60_resnet18.csv,0.09
Random_60_v3_inception.csv,0.185
Random_60_v3_large.csv,0.12
Random_60_v3_small.csv,0.125
Random_65_resnet18.csv,0.045
Random_65_v3_inception.csv,0.13
Random_65_v3_large.csv,0.075
Random_65_v3_small.csv,0.09
Random_70_resnet18.csv,0.045
Random_70_v3_inception.csv,0.07
Random_70_v3_large.csv,0.055
Random_70_v3_small.csv,0.07
Random_75_resnet18.csv,0.015
Random_75_v3_inception.csv,0.055
Random_75_v3_large.csv,0.045
Random_75_v3_small.csv,0.06
Random_80_resnet18.csv,0.015
Random_80_v3_inception.csv,0.035
Random_80_v3_large.csv,0.02
Random_80_v3_small.csv,0.035
Random_85_resnet18.csv,0.01
Random_85_v3_inception.csv,0.005
Random_85_v3_large.csv,0.02
Random_85_v3_small.csv,0.025
Random_90_resnet18.csv,0.01
Random_90_v3_inception.csv,0.0
Random_90_v3_large.csv,0.01
Random_90_v3_small.csv,0.01
Random_95_resnet18.csv,0.005
Random_95_v3_inception.csv,0.005
Random_95_v3_large.csv,0.005
Random_95_v3_small.csv,0.01
