File,Average Match
Saliency_100_resnet18.csv,0.005
Saliency_100_v3_inception.csv,0.0
Saliency_100_v3_large.csv,0.015
Saliency_100_v3_small.csv,0.005
Saliency_10_resnet18.csv,0.855
Saliency_10_v3_inception.csv,0.935
Saliency_10_v3_large.csv,0.95
Saliency_10_v3_small.csv,0.84
Saliency_15_resnet18.csv,0.845
Saliency_15_v3_inception.csv,0.94
Saliency_15_v3_large.csv,0.93
Saliency_15_v3_small.csv,0.795
Saliency_20_resnet18.csv,0.8
Saliency_20_v3_inception.csv,0.925
Saliency_20_v3_large.csv,0.925
Saliency_20_v3_small.csv,0.745
Saliency_25_resnet18.csv,0.78
Saliency_25_v3_inception.csv,0.925
Saliency_25_v3_large.csv,0.89
Saliency_25_v3_small.csv,0.72
Saliency_30_resnet18.csv,0.73
Saliency_30_v3_inception.csv,0.895
Saliency_30_v3_large.csv,0.795
Saliency_30_v3_small.csv,0.655
Saliency_35_resnet18.csv,0.69
Saliency_35_v3_inception.csv,0.85
Saliency_35_v3_large.csv,0.735
Saliency_35_v3_small.csv,0.605
Saliency_40_resnet18.csv,0.635
Saliency_40_v3_inception.csv,0.83
Saliency_40_v3_large.csv,0.665
Saliency_40_v3_small.csv,0.51
Saliency_45_resnet18.csv,0.6
Saliency_45_v3_inception.csv,0.8
Saliency_45_v3_large.csv,0.59
Saliency_45_v3_small.csv,0.49
Saliency_50_resnet18.csv,0.565
Saliency_50_v3_inception.csv,0.745
Saliency_50_v3_large.csv,0.52
Saliency_50_v3_small.csv,0.395
Saliency_55_resnet18.csv,0.525
Saliency_55_v3_inception.csv,0.715
Saliency_55_v3_large.csv,0.46
Saliency_55_v3_small.csv,0.34
Saliency_5_resnet18.csv,0.905
Saliency_5_v3_inception.csv,0.935
Saliency_5_v3_large.csv,0.965
Saliency_5_v3_small.csv,0.87
Saliency_60_resnet18.csv,0.425
Saliency_60_v3_inception.csv,0.65
Saliency_60_v3_large.csv,0.415
Saliency_60_v3_small.csv,0.3
Saliency_65_resnet18.csv,0.36
Saliency_65_v3_inception.csv,0.56
Saliency_65_v3_large.csv,0.355
Saliency_65_v3_small.csv,0.245
Saliency_70_resnet18.csv,0.32
Saliency_70_v3_inception.csv,0.47
Saliency_70_v3_large.csv,0.28
Saliency_70_v3_small.csv,0.205
Saliency_75_resnet18.csv,0.275
Saliency_75_v3_inception.csv,0.345
Saliency_75_v3_large.csv,0.2
Saliency_75_v3_small.csv,0.15
Saliency_80_resnet18.csv,0.19
Saliency_80_v3_inception.csv,0.245
Saliency_80_v3_large.csv,0.11
Saliency_80_v3_small.csv,0.11
Saliency_85_resnet18.csv,0.095
Saliency_85_v3_inception.csv,0.105
Saliency_85_v3_large.csv,0.06
Saliency_85_v3_small.csv,0.07
Saliency_90_resnet18.csv,0.03
Saliency_90_v3_inception.csv,0.03
Saliency_90_v3_large.csv,0.015
Saliency_90_v3_small.csv,0.04
Saliency_95_resnet18.csv,0.02
Saliency_95_v3_inception.csv,0.015
Saliency_95_v3_large.csv,0.01
Saliency_95_v3_small.csv,0.015
